Judul,APBD Kab Bantul 2015,,
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,"8,500,000","Pendapatan Asli Daerah (P A D)
Belanja barang yang akan diserahkan kepada masyarakat
Belanja hadiah untuk peserta gerak jalan santai1 LS x 8.500.000^00 = 8.500.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"5,625,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"5,625,000","Pendapatan Asli Daerah (P A D)
Honor Narasumber kegiatanNarasumber kegiatan pembinaan17 jpl x 225.000^00 = 3.825.000^00
Narasumber kegiatan BBKT6 jpl x 250.000^00 = 1.500.000^00
Moderator keg BBKT2 ok x 150.000^00 = 300.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 37 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"6,000,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 37 . 01 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"6,000,000","Pendapatan Asli Daerah (P A D)Uang untuk diberikan kepada masyarakat
Uang Hadiah Juara I Karang Taruna Berprestasi1 LS x 2.500.000^00 = 2.500.000^00
Uang Hadiah Juara II Karang Taruna Berprestasi1 LS x 2.000.000^00 = 2.000.000^00
Uang Hadiah Juara III Karang Taruna Berprestasi1 LS x 1.500.000^00 = 1.500.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 38 ,Belanja Jasa Pentas/Pertunjukan ,"3,500,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 38 . 01 ,Belanja Jasa Pentas/Pertunjukan ,"3,500,000","Pendapatan Asli Daerah (P A D)
Belanja KesenianSewa Elektone1 paket x 2.000.000^00 = 2.000.000^00
Sewa Pakaian Kesenian untuk kemah kebangsaan1 pkt x 1.500.000^00 = 1.500.000^00"
1.19 . 1.13.01 . 18 ,Program kemitraan pengembangan wawasan kebangsaan ,"2,096,107,100",
1.19 . 1.13.01 . 18 . 01 ,Fasilitasi pencapaian Halaqoh dan berbagai forum keagamaan lainnya dalam upaya peningkatan wawasan kebangsaan,"1,200,004,850","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  kegiatan pemberdayaan keagamaan
Target:  9 kegiatan"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,"107,015,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"75,440,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"73,090,000","Hr panitia pelaksana kegiatan pengajian rutin/PHBI
Ketua11 ob x 160.000^00 = 1.760.000^00
Sekretaris11 ob x 150.000^00 = 1.650.000^00
Anggota88 ob x 140.000^00 = 12.320.000^00
Hr Panitia Pelaksanaan Safari Ramadhan
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota8 org x 140.000^00 = 1.120.000^00
Hr Panitia Pelaksanaan Evaluasi DBKS Tk Propinsi DIY
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota13 org x 140.000^00 = 1.820.000^00
Hr Panitia Penyelenggara HajiKetua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota26 org x 140.000^00 = 3.640.000^00
Hr Panitia Pengarah Kegiatan MTQ Tk Kabupaten Bantul
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota15 org x 140.000^00 = 2.100.000^00
Hr Panitia Penyelenggara Kegiatan MTQ Tk Kabupaten Bantul
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota 25 org x 140.000^00= 3.500.000^00
Hr panitia kegiatan pemilihan Keluarga Sakinah Teladan (KST) Kab. Bantul
Ketua 1 org x 160.000^00 = 160.000^00
Sekretaris 1 org x 150.000^00= 150.000^00
Anggota 8 org x 140.000^00 = 1.120.000^00
Hr panitia Musabaqoh Qiro'atil Kutub Tk. Kab. Bantul
ketua 1 org x 150.000^00 = 150.000^00
Sekretaris 1 org x 140.000^00=140.000^00
Anggota 6 org x 130.000^00 =780.000^00
Honor panitia pelaksana sarasehan dlm rangka Hari Pahlawan
Ketua 1 ob x 160.000^00 = 160.000^00
Sekretaris 1 ob x 150.000^00 = 150.000^00
Anggota 5ob x 140.000^00 =700.000^00
Honor panitia pelaksana Lomba Ketangkasan Pemuda
Ketua1ob x 160.000^00 =160.000^00
Sekretaris1ob x 150.000^00 =150.000^00
Anggota12 ob x 140.000^00 =1.680.000^00
Honorarium penyelenggaraan kegiatanHonor pembinaan KST maju tk DIY10 ok x 150.000^00 =1.500.000^00
Honor MC kegiatan Hari Pahlawan2 ok x 100.000^00 =200.000^00
Honor pembinaan DBKS Kab.Bantul15ok x 100.000^00 =1.500.000^00
Honor pembinaan DBKS maju ke Tk. DIY15ok x 100.000^00 =1.500.000^00
Honor petugas keamanan safari tarweh51ok x 30.000^00 =1.530.000^00
Honor MC KST Tk. DIY1 org x 100.000^00 =100.000^00
Honor MC MQK 1 ok x100.000^00 =100.000^00
Honor petugas kebersihan penyelenggaraaan haji150ok x 25.000^00 =3.750.000^00
Honor petugas keamanan MTQ Tk Kabupaten30ok x 30.000^00 =900.000^00
Honor MC MTQ Tk. Kabupaten 4ok x 100.000^00 =400.000^00
Honor petugas MC penyelenggaraan DBKS4ok x 100.000^00 = 400.000^00
Honor MC penyelenggaraan haji10 ok x 100.000^00 = 1.000.000^00
Honor petugas keamanan penyelenggaraan haji700 ok x 30.000^00 = 21.000.000^00
Honor petugas MC pengajian rutin & PBHI15 ok x 100.000^00 = 1.500.000^00
Honor petugas MC kegiatan safari Ramadhan6 ok x 100.000^00 = 600.000^00
Honor petugas keamanan safari romadhon24 ok x 30.000^00 = 720.000^00
Honorarium panitia kegiatan Safari Taraweh
Ketua1 ok x 160.000^00 = 160.000^00
Sekretaris1 ok x 150.000^00 = 150.000^00
Anggota8 ok x 140.000^00 = 1.120.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,"2,350,000","Hr Pejabat Pembuat Komitmen (PPK)2 op x 350.000^00 = 700.000^00
Honor Pejabat Pengadaan2 op x 300.000^00 = 600.000^00
Honor Panitia Penerima/pemeriksaKetua2 op x 200.000^00 = 400.000^00
Sekretaris2 op x 175.000^00 = 350.000^00
Anggota2 op x 150.000^00 = 300.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"31,575,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"31,575,000","Honor petugas PDAM safari ramadhan6 orang x 150.000^00 = 900.000^00
Honor panitia pelaksana kegiatan penyelenggaraan haji7 orang x 140.000^00 = 980.000^00
Insentif angkutan zam zam825 buah x 1.000^00 = 825.000^00
Insentif pengangkatan koper di Bantul825 buah x 5.000^00 = 4.125.000^00
Insentif pengangkatan koper di Donohudan825 buah x 5.000^00 = 4.125.000^00
Insentif mandor/buruh di Donohudan8 kali x 350.000^00 = 2.800.000^00
Hr Panitia pelaksanan kegiatan MTQ Kabupaten Bantul23 orang x 140.000^00 = 3.220.000^00
Honor pembuat soal MTQ Tk Kabupaten6 orang x 200.000^00 = 1.200.000^00
Honor petugas kebersihan pengajian rutin dan PHBI150 orang x 25.000^00 = 3.750.000^00
Honor Qori' pengajian rutin dan PHBI15 orang x 100.000^00 = 1.500.000^00
Honor Qori' penyelenggaraan DBKS2 orang x 100.000^00 = 200.000^00
Honor petugas do'a kegiatan penyelenggaraan haji9 orang x 200.000^00 = 1.800.000^00
Honor petugas keamanan kegiatan MTQ Tk Kabupaten30 orang x 30.000^00 = 900.000^00
Honor petugas kebersihan kegiatan MTQ Tk Kabupaten20 orang x 25.000^00 = 500.000^00
Honor panitia kegiatan MQK Tk Kab Bantul
Hr panitia pelaksana kegiatan MQK Tk kab bantul20 org x 130.000^00 = 2.600.000^00
Honor pembinaan DBKS Kabupaten Bantul7 100000 x 100.000^00 = 700.000^00
Honor pembinaan DBKS maju tingkat DIY7 100000 x 100.000^00 = 700.000^00
Honor pembinaan KSTmaju tingkat DIY
Hionor pembinaan KSTmaju tingkat DIY5 150000 x 150.000^00 = 750.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"1,092,989,850",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"10,801,500",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"10,301,500","ATK Panitia pengajian rutin dan peringatan hari besar Islam (Kertas^ Ballpoint^ Stopmap^ Staples^ Tinta^ dll)12 pkt x 200.000^00 = 2.400.000^00
ATK Kegiatan Safari Ramadhan (Kertas^ Amplop^ dll)1 LS x 836.500^00 = 836.500^00
ATK Kegiatan DBKS (Kertas^ Amplop^ Stopmap^ dll)1 LS x 800.000^00 = 800.000^00
ATK kegiatan penyelenggaraan haji1 LS x 1.000.000^00 = 1.000.000^00
ATK kegiatan MTQ Tk Kabupaten1 LS x 2.000.000^00 = 2.000.000^00
ATK kegiatan safari tarawih1 ls x 500.000^00 = 500.000^00
ATK kegiatan KST1 ls x 800.000^00 = 800.000^00
ATK kegiatan MQK1 ls x 465.000^00 = 465.000^00
ATK kegiatan Peringatan Hari PahlawanA
TK peserta Peringatan Hari Pahlawan50 paket x 20.000^00 = 1.000.000^001 ls x 500.000^00 = 500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 01 . 11 ,Belanja Bahan medis (obat-obatan) habis pakai ,500,PPPK kegiatan MTQ Kabupaten1 paket x 500.000^00 = 500.000^00
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"79,200,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"79,200,000","Pengadaan peralatan dan perlengkapan musabaqoh utk MTQ Tk Kabupaten Bantul1 LS x 5.000.000^00 = 5.000.000^00
Kitab Suci Al Qur'an300 buah x 74.000^00 = 22.200.000^00
Belanja pembelian karpet untuk kegiatan safari tarawihPembelian karpet kegiatan safari tarawih1 ls x 50.000.000^00 = 50.000.000^00
Belanja peralatan lomba ketangkasan pemudaPeralatan Lomba Ketangkasan Pemuda1 ls x 2.000.000^00 = 2.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"22,550,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"18,550,000","Dekorasi kegiatan Pengajian rutin/PHBI12 buah x 350.000^00 = 4.200.000^00
Dekorasi kegiatan DBKS1 LS x 1.500.000^00 = 1.500.000^00
Dekorasi kegiatan penyelenggaraan haji1 LS x 4.000.000^00 = 4.000.000^00
Dekorasi MTQ Tk Kabupaten Bantul1 LS x 7.000.000^00 = 7.000.000^00
Dekorasi kegiatan KST1 ls x 500.000^00 = 500.000^00
Dekorasi kegiatan MQKDekorasi MQK1 paket x 1.000.000^00 = 1.000.000^00
Dekorasi kegiatan Peringatan Hari Pahlawan1 buah x 350.000^00 = 350.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,"4,000,000","Pembuatan Spanduk kegiatan DBKS1 LS x 1.000.000^00 = 1.000.000^00
Pembuatan Spanduk Penyelenggaraan Haji1 LS x 2.000.000^00 = 2.000.000^00
Publikasi MTQ Tk Kabupaten1 LS x 1.000.000^00 = 1.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"22,925,850",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,"15,600,000","Biaya cetak kegiatan halaqoh1 LS x 3.000.000^00 = 3.000.000^00
Biaya cetak buku profil820 buah x 15.000^00 = 12.300.000^00
Biaya cetak kegiatan MQK1 ls x 300.000^00 = 300.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"7,325,850","Penggandaan Pengajian Rutin dan PHBI6^666 Lbr x 150^00 = 999.900^00
Penggandaan Safari Ramadhan5^333 Lbr x 150^00 = 799.950^00
Penggandaan Penyelenggaraan DBKS5^333 Lbr x 150^00 = 799.950^00
Penggandaan kegiatan penyelenggaraan Haji6^926 Lbr x 150^00 = 1.038.900^00
Penggandaan kegiatan MTQ Kabupaten6^333 Lbr x 150^00 = 949.950^00
Penggandaan kegiatan Fasilitasi sarana ibadah4^333 Lbr x 150^00 = 649.950^00
Penggandaan kegiatan safari tarawih3^333 lbr x 150^00 = 499.950^00
Penggandaan KST4^333 lbr x 150^00 = 649.950^00
Penggandaankegiatan MQKPenggandaan MQK3^333 lembar x 150^00 = 499.950^00
Penggandaaan kegiatan Peringatan Hari Pahlawan
Penggandaan kegiatan Peringatan Hari Pahlawan2^916 lbr x 150^00 = 437.400^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"14,500,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,"12,000,000","Sewa tempat untuk kegiatan pembinaan MTQ3 hari x 500.000^00 = 1.500.000^00
Sewa tempat pelaksanaan lomba MTQ Tk Kabupaten1 hari x 6.000.000^00 = 6.000.000^00
Sewa tempat pengamanan koper / barang kegiatan haji Kabupaten Bantul1 LS x 4.000.000^00 = 4.000.000^00
Sewa tempat kegiatan Peringatan Hari PahlawanSewa tempat kegiatan Hari Pahlawan1 lokasi x 500.000^00 = 500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 07 . 05 ,Belanja Sewa Kamar Hotel/Penginapan ,"2,500,000",Sewa tempat untuk istirahat kafilah MTQ Tk Kabupaten5 tempat x 500.000^00 = 2.500.000^00
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"191,000,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"191,000,000","Sewa kendaraan Angkutan Jamaah Haji Kabupaten Bantul45 buah x 3.000.000^00 = 135.000.000^00
Sewa kendaraan Angkutan koper jamaah haji Kabupaten Bantul20 buah x 2.000.000^00 = 40.000.000^00
Sewa Ambulance untuk kegiatan haji8 buah x 1.000.000^00 = 8.000.000^00
Sewa kendaraan untuk MTQ Tk Kabupaten10 buah x 500.000^00 = 5.000.000^00
Sewa kendaraan untuk pengiriman kafilah STQ Tk DIY2 buah x 1.500.000^00 = 3.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"62,000,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,"16,500,000","Sewa meja kursi kegiatan DBKS1 Paket x 4.000.000^00 = 4.000.000^00
Sewa meja kursi kegiatan penyelenggaraan haji1 paket x 6.000.000^00 = 6.000.000^00
Sewa meja kursi MTQ Tk Kabupaten1 paket x 4.000.000^00 = 4.000.000^00
Sewa meja kursi KST1 ls x 1.000.000^00 = 1.000.000^00
Sewa meja kursi MQK1 paket x 1.500.000^00 = 1.500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 10 . 04 ,Belanja Sewa Generator ,"3,000,000",Sewa Lighting & Genset kegiatan MTQ Tk Kabupaten1 LS x 3.000.000^00 = 3.000.000^00
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,"16,000,000","Sewa tenda untuk kegiatan DBKS8 buah x 500.000^00 = 4.000.000^00
Sewa tenda untuk kegiatan penyelenggaraan haji12 paket x 500.000^00 = 6.000.000^00
Sewa tenda untuk MTQ Tk Kabupaten8 buah x 500.000^00 = 4.000.000^00
Sewa tikar untuk kegiatan ta'aruf dan mangayubagyo haji100 buah x 10.000^00 = 1.000.000^00
Sewa tenda KST2 buah x 500.000^00 = 1.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"26,500,000","Sewa sound system pengajian rutin dan PHBI15 keg x 500.000^00 = 7.500.000^00
Sewa sound system kegiatan DBKS8 keg x 500.000^00 = 4.000.000^00
Sewa sound system kegiatan penyelenggaraan haji12 keg x 500.000^00 = 6.000.000^00
Sewa sound system kegiatan MTQ Tk Kabupaten9 keg x 500.000^00 = 4.500.000^00
Sewa sound system KST2 keg x 500.000^00 = 1.000.000^00
Sewa sound system kegiatan MQKSewa sound system MQK4 paket x 500.000^00 = 2.000.000^00
Sewa sound system kegiatan Peringatan Hari Pahlawan
Sewa sound system kegiatan Peringatan Hari Pahlawan3 kegiatan x 500.000^00 = 1.500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"294,087,500",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"8,835,000","Snack minum rapat pengajian rutin dan PHBI80 dos x 8.500^00 = 680.000^00
Snack minum rapat safari ramadhan50 dos x 8.500^00 = 425.000^00
Snack Minum Rapat DBKS100 dos x 8.500^00 = 850.000^00
Snack minum rapat kegiatan penyelenggaraan haji200 dos x 8.500^00 = 1.700.000^00
Snack minum rapat kegiatan STQ Tk Kabupaten200 dos x 8.500^00 = 1.700.000^00
Snack minum rapat MTQ Tk Kabupaten100 dos x 20.000^00 = 2.000.000^00
Snack minum rapat safari tarawih50 dos x 8.500^00 = 425.000^00
Snack minum rapat kegiatan KSTSnack minum rapat KST50 dos x 8.500^00 = 425.000^00
Snack minum rapat kegiatan MQK Tk KabSnack minum rapat MQK30 dos x 8.500^00 = 255.000^00
Snack minum rapat kegiatan Peringatan Hari Pahlawan50 dos x 7.500^00 = 375.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"285,252,500","Makan minum kegiatan safari ramadhan1^350 dos x 20.000^00 = 27.000.000^00
Snack minum pencanangan DBKS Tk Kabupaten200 dos x 8.500^00 = 1.700.000^00
Makan pencanangan DBKS200 dos x 20.000^00 = 4.000.000^00
Makan Evaluasi DBKS Tk DIY500 dos x 20.000^00 = 10.000.000^00
Konsumsi minum monitoring pasca pencanangan DBKS315 dos x 20.000^00 = 6.300.000^00
Makan minum evaluasi DBKS Tk Kabupaten Bantul300 dos x 20.000^00 = 6.000.000^00
Makan minum pembinaan persiapan maju DBKS Tk DIY200 dos x 20.000^00 = 4.000.000^00
Snack Minum pembinaan persiapan DBKS ke Tk DIY200 dos x 8.500^00 = 1.700.000^00
Snack minum ta'aruf calon jamaah haji Kabupaten Bantul800 dos x 8.500^00 = 6.800.000^00
Makan minum kegiatan pamitan haji950 dos x 20.000^00 = 19.000.000^00
Makan minum kegiatan pemberangkatan haji1^300 dos x 20.000^00 = 26.000.000^00
Makan minum kegiatan penjemputan haji1^300 dos x 20.000^00 = 26.000.000^00
Makan minum kegiatan mangayubagyo haji950 dos x 20.000^00 = 19.000.000^00
Snack minum pembinaan kafilah STQ390 dos x 8.500^00 = 3.315.000^00
Makan minum pembinaan kafilah STQ585 dos x 20.000^00 = 11.700.000^00
Makan minum kegiatan MTQ Tk Kabupaten1^200 dos x 20.000^00 = 24.000.000^00
Snack minum MTQ Tk Kabupaten Bantul2^000 dos x 8.500^00 = 17.000.000^00
Makan minum kegiatan safari tarawihMakan minum safari tarawih2^040 dos x 20.000^00 = 40.800.000^00
Makan minum pelaksanaan kegiatan KSTMakan minum evaluasi KST Tk. DIY200 dos x 20.000^00 = 4.000.000^00
Snack minum evaluasi KST Tk. DIY200 dos x 8.500^00 = 1.700.000^00
Makanan dan minuman kegiatan MQKMakan minum kegiatan MQK250 dos x 20.000^00 = 5.000.000^00
Snack minum MQK500 dos x 8.500^00 = 4.250.000^00
Makan minum pelaksanaan kegiatan Peringatan Hari Pahlawan
Makan minum kegiatan Peringatan Hari Pahlawan75 dos x 17.500^00 = 1.312.500^00
Snack minum lomba ketangkasan pemuda715 dos x 7.500^00 = 5.362.500^00
Makan minum lomba ketangkasan pemuda500 dos x 17.500^00 = 8.750.000^00
Snack minum kegiatan Peringatan Hari Pahlawan75 dos x 7.500^00 = 562.500^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 14 ,Belanja Pakaian khusus dan hari-hari tertentu ,"24,450,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 14 . 03 ,Belanja Pakaian Batik Tradisional ,"24,450,000","Seragam panitia penyelenggaraan haji35 buah x 150.000^00 = 5.250.000^00
Seragam panitia penyelenggaraan MTQ Tk Kabupaten Bantul50 buah x 150.000^00 = 7.500.000^00
Seragam Dewan Hakim MTQ Tk Kabupaten Bantul48 buah x 150.000^00 = 7.200.000^00
Seragam kafilah STQ Kabupaten Bantul30 buah x 150.000^00 = 4.500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"92,400,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"14,000,000","Dalam Kabupaten
Gol III 145 org x 40.000^00 = 5.800.000^00
Gol IV 74 org x 50.000^00 = 3.700.000^00
Luar Kabupaten (Prop. DIY)Gol III 40 org x 60.000^00 = 2.400.000^00
Gol IV 30 org x 70.000^00 = 2.100.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"78,400,000","TransportTransport pesawat pp (kegiatan STQ)5 kali x 7.000.000^00 = 35.000.000^00
Transport Jogja-Solo pp10 kali x 120.000^00 = 1.200.000^00
Lumpsum (kegiatan STQ)
Gol. IV (2 org x 3 hari)6 oh x 1.700.000^00 = 10.200.000^00
Gol. III (3 org x 3 hari)9 oh x 1.550.000^00 = 13.950.000^00
Lumpsum (kegiatan Haji)
Gol. III (menginap di asrama haji)7 oh x 950.000^00 = 6.650.000^00
Gol. III (tidak menginap)38 oh x 300.000^00 = 11.400.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,"6,750,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,"6,750,000",Trophy kejuaraan MQK Tk. Kab30 set x 225.000^00 = 6.750.000^00
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"158,275,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"28,750,000","Hr Ustadz pengajian rutin dan PHBI30 jpl x 250.000^00 = 7.500.000^00
Hr Ustadz Safari Ramadhan12 jpl x 200.000^00 = 2.400.000^00
Honor ustadz pembinaan kafilah MTQ30 orang x 300.000^00 = 9.000.000^00
Hr ustadz safari tarawih34 jpl x 250.000^00 = 8.500.000^00
Hr nara sumber kegiatan Peringatan Hari Pahlawan
Honor nara sumber kegiatan Peringatan Hari Pahlawan6 jpl x 225.000^00 = 1.350.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 35 . 02 ,Jasa Yuri Perlombaan/Pelatih ,"56,775,000","Hr dewan hakim MTQ Tk Kabupaten96 jpl x 250.000^00 = 24.000.000^00
Hr evaluasi DBKS Kabupaten Bantul66 org x 150.000^00 = 9.900.000^00
Hr yuri evaluasi KST Kab. Bantul45 org x 175.000^00 = 7.875.000^00
Hr hakim kegiatan MQK Kab. Bantul90 ok x 100.000^00 = 9.000.000^00
Hr yuri lomba ketangkasan pemuda
Honor yuri lomba ketangkasan pemuda30 orang x 200.000^00 = 6.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"6,750,000","Honor peserta pembinaan kafilah70 orang x 75.000^00 = 5.250.000^00
Honor peserta kegiatan Peringatan Hari Pahlawan50 orang x 30.000^00 = 1.500.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 35 . 06 ,Jasa Tenaga Harian Lepas ,"66,000,000",Upah karyawan/pengelola masjid agung manunggal 11 orang x 12 bulan 132 ob x 500.000^00 = 66.000.000^00
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 37 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"94,050,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 37 . 01 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"94,050,000","uang untuk diberikan kepada masyarakat
Uang pembinaan Juara I MTQ Tk Kabupaten44 org x 400.000^00 = 17.600.000^00
Uang pembinaan juara II MTQ Tk Kabupaten44 org x 350.000^00 = 15.400.000^00
Uang pembinaan juara II MQK Tk kab30 org x 125.000^00 = 3.750.000^00
Uang pembinaan juara III MQK Tk. Kab30 org x 110.000^00 = 3.300.000^00
Uang pembinaan lomba ketangkasan pemuda1 paket x 10.000.000^00 = 10.000.000^00
Uang pembinaan juara II evaluasi KST1 lokasi x 1.500.000^00 = 1.500.000^00
Uang pembinaan juara III evaluasi KST1 lokasi x 1.000.000^00 = 1.000.000^00
uang pembinaan juara I MQK Tk. Kab30 org x 150.000^00 = 4.500.000^00
Uang pembinaan juara II evaluasi DBKS1 lokasi x 3.000.000^00 = 3.000.000^00
Uang pembinaan juara III evaluasi DBKS1 lokasi x 2.000.000^00 = 2.000.000^00
Uang pembinaan juara I evaluasi KST1 lokasi x 2.000.000^00 = 2.000.000^00
Uang pembinaan juara II MTQ Tk Kabupaten44 org x 250.000^00 = 11.000.000^00
Uang reward juara STQ Tk DIY1 LS x 15.000.000^00 = 15.000.000^00
Uang pembinaan juara I evaluasi DBKS1 lokasi x 4.000.000^00 = 4.000.000^00"
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 38 ,Belanja Jasa Pentas/Pertunjukan ,"10,000,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 38 . 01 ,Belanja Jasa Pentas/Pertunjukan ,"10,000,000","Pendukung pawai ta'aruf MTQ1 LS x 5.000.000^00 = 5.000.000^00
Kesenian untuk kegiatan MTQ Kabupaten Bantul1 LS x 5.000.000^00 = 5.000.000^00"
