Judul,Penjabaran APBD,,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,2676050,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,4750000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,4750000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,4440000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4440000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1200000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1200000,
1.22 . 1.22.01 . 27 ,Program Penguatan Kelembagaan Masyarakat ,245243500,
1.22 . 1.22.01 . 27 . 01 ,Pembinaan dan Pengembangan Pasar Desa ,19667500,Sumber Dana :  Lokasi Kegiatan : 12 Kecamatan
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,1650000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,300000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 1 . 01 . 05 ,Honorarium Penyelenggaraan Kegiatan ,300000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,1350000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,1350000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,18017500,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,724200,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,724200,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,256000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,256000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1004900,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,300000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,704900,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5175000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,3800000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,1375000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,10407400,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2270000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,8137400,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,450000,
1.22 . 1.22.01 . 27 . 01 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,450000,
1.22 . 1.22.01 . 27 . 02 ,Penyusunan data dan evaluasi pembangunan desa ,86101000,Sumber Dana :  Lokasi Kegiatan : 12 Kecamatan
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,17775000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 . 01 ,Honorarium PNS ,14445000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,14445000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,3330000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,1080000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,2250000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,68326000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1571000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1571000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1715000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1715000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,18960000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,5720000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,13240000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,14105000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,6285000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,7820000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,6975000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,6975000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,25000000,
1.22 . 1.22.01 . 27 . 02 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,25000000,
1.22 . 1.22.01 . 27 . 03 ,Pemberdayaan Lembaga dan Organisasi Masyarakat Pedesaan ,139475000,Sumber Dana :  Lokasi Kegiatan : Wilayah Kabupaten Kulon Progo 
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,47875000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 . 01 ,Honorarium PNS ,21375000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,21375000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,26500000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,18100000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,8400000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,91600000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1952000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1952000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1855000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1855000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,51098000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,38020000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,13078000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,13845000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,7130000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,6715000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,5850000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,5850000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,17000000,
1.22 . 1.22.01 . 27 . 03 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,17000000,
1.22 . 1.22.01 . 29 ,Program Peningkatan Partisipasi Masyarakat ,436021050,
1.22 . 1.22.01 . 29 . 01 ,Penyelenggaraan Bulan Bhakti Gotong Royong Masyarakat ,47274050,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,47274050,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2108300,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2108300,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,875000,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,875000,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,24500000,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,24500000,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,19790750,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,7980000,
1.22 . 1.22.01 . 29 . 01 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,11810750,
1.22 . 1.22.01 . 29 . 02 ,Pendampingan Pengembangan PNPM ,166645000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,74250000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 1 . 01 ,Honorarium PNS ,71250000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,71250000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,3000000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,3000000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,92395000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2814850,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2814850,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1100000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,150000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,300000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,650000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,445550,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,445550,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3250000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,750000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,2500000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,83684600,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,6795000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,76889600,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1100000,
1.22 . 1.22.01 . 29 . 02 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1100000,
1.22 . 1.22.01 . 29 . 05 ,Pelaksanaan TNI Manunggal Membangun Desa (TMMD) ,25636200,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 1 ,Belanja Pegawai ,1000000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,1000000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,1000000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,24636200,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,757850,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,757850,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,623350,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,623350,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 09 ,Belanja Sewa Alat Berat ,5000000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 09 . 02 ,Belanja Sewa Buldoser ,5000000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,11875000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,11875000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6380000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4970000,
1.22 . 1.22.01 . 29 . 05 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1410000,
1.22 . 1.22.01 . 29 . 06 ,Peningkatan peran serta masyarakat dalam pengembangan Teknologi Tepat Guna (TTG ),45865800,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,45865800,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,224400,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,224400,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,2500000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 02 . 06 ,Belanja Bahan Percontohan ,2500000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,703000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,500000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,203000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1640000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1640000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,40798400,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1130000,
1.22 . 1.22.01 . 29 . 06 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,39668400,
1.22 . 1.22.01 . 29 . 07 ,Pendampingan penyaluran bantuan pemberdayaan masyarakat ,150600000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,98620000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,43420000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,43420000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,52800000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,52800000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 03 ,Uang Lembur ,2400000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,2400000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,51980000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3412500,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3412500,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,3937500,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3937500,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,30200000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,2700000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,27500000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,14430000,
1.22 . 1.22.01 . 29 . 07 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,14430000,
,SURPLUS / (DEFISIT) ,-13273123711,
