JUDUL,ANGGARAN PENDAPATAN DAN BELANJA DAERAH,,
DAERAH,KOTA YOGYAKARTA,,
TAHUN,2016,,
KODE ORGANISASI,1.13.01,,
NAMA ORGANISASI,DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI,,
KOLOM,4,,
,,,
KODE REKENING , URAIAN  ,ANGGARAN,KETERANGAN
,,,
1.13.1.13.01.000.000.4 ,PENDAPATAN DAERAH ,,
"1.13.1.13.01.000.000.5 ,BELANJA DAERAH ,"" 23,308,998,703 "","
"1.13.1.13.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"" 5,079,904,126 "",Gaji Pokok PNS/Uang Representasi (DAU) 5079904126"
"1.13.1.13.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"" 457,114,629 "",Tunjangan Keluarga (DAU) 457114629"
"1.14.1.13.01.066.002.5.2.1.01 ,Honorarium PNS ,"" 37,025,000 "","
"1.14.1.13.01.066.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 36,525,000 "",Honorarium Panitia Pelaksana Kegiatan 36525000"
,,,
"1.14.1.13.01.066.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 500,000 "",Honorarium Tim Pengadaan Barang dan Jasa 500000"
,,,
"1.14.1.13.01.066.002.5.2.1.02 ,Honorarium Non PNS ,"" 98,040,000 "","
"1.14.1.13.01.066.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 96,390,000 "",Honorarium Panitia Pelaksana Kegiatan 96390000"
,,,
"1.14.1.13.01.066.002.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"" 1,650,000 "",Honorarium Pelaksana Kegiatan 1650000"
,,,
"1.14.1.13.01.066.002.5.2.2 ,BELANJA BARANG DAN JASA ,"" 322,767,850 "","
"1.14.1.13.01.066.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 8,890,000 "","
"1.14.1.13.01.066.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 8,890,000 "",Belanja  Alat Tulis Kantor 8890000"
,,,
"1.14.1.13.01.066.002.5.2.2.03 ,Belanja Jasa Kantor ,"" 19,242,350 "","
"1.14.1.13.01.066.002.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 2,700,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 2700000"""
,,,
"1.14.1.13.01.066.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 16,542,350 "",Belanja Jasa Penyedia /Tenaga Teknis 16542350"
,,,
"1.14.1.13.01.066.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 31,630,500 "","
"1.14.1.13.01.066.002.5.2.2.06.01 ,Belanja Cetak ,"" 13,425,000 "",Belanja Cetak 13425000"
,,,
"1.14.1.13.01.066.002.5.2.2.06.02 ,Belanja Penggandaan ,"" 17,905,500 "",Belanja Penggandaan 17905500"
,,,
"1.14.1.13.01.066.002.5.2.2.06.03 ,Belanja Cetak Foto ,"" 300,000 "",Belanja Cetak Foto 300000"
,,,
"1.14.1.13.01.066.002.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 800,000 "","
"1.14.1.13.01.066.002.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 800,000 "",Belanja Sewa Sarana Mobilitas Darat 800000"
,,,
"1.14.1.13.01.066.002.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"" 12,000,000 "","
"1.14.1.13.01.066.002.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,"" 12,000,000 "",Belanja Sewa Perlengkapan/Peralatan 12000000"
,,,
"1.14.1.13.01.066.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 59,580,000 "","
"1.14.1.13.01.066.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 56,880,000 "",Belanja Makanan Dan Minuman Rapat 56880000"
,,,
"1.14.1.13.01.066.002.5.2.2.11.05 ,Belanja Makanan Dan Minuman Petugas Operasional /Survey/Monitoring ,"" 2,700,000 "",Belanja Makanan Dan Minuman Petugas Operasional 2700000"
,,,/Survey/Monitoring
,,,
"1.14.1.13.01.066.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 40,275,000 "","
"1.14.1.13.01.066.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 33,475,000 "",Belanja Perjalanan Dinas Dalam Daerah 33475000"
,,,
"1.14.1.13.01.066.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 6,800,000 "",Belanja Perjalanan Dinas Luar Daerah 6800000"
,,,
"1.14.1.13.01.066.002.5.2.2.21 ,Belanja Jasa Konsultansi ,"" 122,000,000 "","
"1.14.1.13.01.066.002.5.2.2.21.01 ,Belanja Jasa Konsultansi Penelitian ,"" 122,000,000 "",Belanja Jasa Konsultansi Penelitian 122000000"
,,,
"1.14.1.13.01.066.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 28,350,000 "","
"1.14.1.13.01.066.002.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 1,500,000 "",Belanja Jasa Tenaga Ahli 1500000"
,,,
"1.14.1.13.01.066.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 26,400,000 "",Belanja Jasa Na asumber 26400000"
,,,
"1.14.1.13.01.066.002.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 450,000 "",Belanja Jasa Moderator 450000"
,,,
"1.14.1.13.01.067 ,Program Perlindungan dan Pengembangan Lembaga Tenaga Kerja ,"" 1,927,691,000 "","
"1.14.1.13.01.067.001 ,Pelayanan Hubungan Industrial dan Perlindungan Tenaga Kerja ,"" 1,243,257,000 "","
"1.14.1.13.01.067.001.5.2.1 ,BELANJA PEGAWAI ,"" 455,925,000 "","
"1.14.1.13.01.067.001.5.2.1.01 ,Honorarium PNS ,"" 323,925,000 "","
"1.14.1.13.01.067.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 323,925,000 "",Honorarium Panitia Pelaksana Kegiatan 323925000"
,,,
"1.14.1.13.01.067.001.5.2.1.02 ,Honorarium Non PNS ,"" 132,000,000 "","
"1.14.1.13.01.067.001.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"" 132,000,000 "",Honorarium Pelaksana Kegiatan 132000000"
,,,
"1.14.1.13.01.067.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 787,332,000 "","
"1.14.1.13.01.067.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 31,750,000 "","
"1.14.1.13.01.067.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 31,750,000 "",Belanja  Alat Tulis Kantor 31750000"
,,,
"1.14.1.13.01.067.001.5.2.2.02 ,Belanja Bahan/Material ,"" 26,300,000 "","
"1.14.1.13.01.067.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,"" 20,300,000 "",Belanja Hadiah/Trophy 20300000"
,,,Award Hubungan Industrial yang Terpantau 20300000
"1.14.1.13.01.067.001.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 6,000,000 "",Belanja Bahan Percontohan 6000000"
,,,
"1.14.1.13.01.067.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 1,749,000 "","
"1.14.1.13.01.067.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 1,749,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 1749000"""
,,,
"1.14.1.13.01.067.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 33,085,000 "","
"1.14.1.13.01.067.001.5.2.2.06.01 ,Belanja Cetak ,"" 4,850,000 "",Belanja Cetak 4850000"
,,,
"1.14.1.13.01.067.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 28,235,000 "",Belanja Penggandaan 28235000"
,,,
"1.14.1.13.01.067.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"" 3,150,000 "","
"1.14.1.13.01.067.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,"" 3,150,000 "",Belanja Sewa Perlengkapan/Peralatan 3150000"
,,,
"1.14.1.13.01.067.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 241,548,000 "","
"1.14.1.13.01.067.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 241,548,000 "",Belanja Makanan Dan Minuman Rapat 241548000"
,,,
"1.14.1.13.01.067.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 350,700,000 "","
"1.14.1.13.01.067.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 26,250,000 "",Belanja Perjalanan Dinas Dalam Daerah 26250000"
,,,
"1.14.1.13.01.067.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 324,450,000 "",Belanja Perjalanan Dinas Luar Daerah 324450000"
,,,
"1.14.1.13.01.067.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 99,050,000 "","
"1.14.1.13.01.067.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 5,200,000 "",Belanja Jasa Instruktur 5200000"
,,,
"1.14.1.13.01.067.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 82,300,000 "",Belanja Jasa Narasumber 82300000"
,,,
"1.14.1.13.01.067.001.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 11,550,000 "",Belanja Jasa Moderator 11550000"
,,,
"1.14.1.13.01.067.002 ,Peningkatan Pengawasan Perlindungan dan Penegakan Hukum Terhadap K3 ,"" 684,434,000 "","
"1.14.1.13.01.067.002.5.2.1 ,BELANJA PEGAWAI ,"" 346,915,000 "","
"1.14.1.13.01.067.002.5.2.1.01 ,Honorarium PNS ,"" 296,185,000 "","
"1.14.1.13.01.067.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 296,185,000 "",Honorarium Panitia Pelaksana Kegiatan 296185000"
,,,
"1.14.1.13.01.067.002.5.2.1.02 ,Honorarium Non PNS ,"" 50,730,000 "","
"1.14.1.13.01.067.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 40,230,000 "",Honorarium Panitia Pelaksana Kegiatan 40230000"
,,,
"1.14.1.13.01.067.002.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"" 10,500,000 "",Honorarium Pelaksana Kegiatan 10500000"
,,,
"1.14.1.13.01.067.002.5.2.2 ,BELANJA BARANG DAN JASA ,"" 337,519,000 "","
"1.14.1.13.01.067.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 4,628,000 "","
"1.14.1.13.01.067.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 4,500,000 "",Belanja  Alat Tulis Kantor 4500000"
,,,
"1.14.1.13.01.067.002.5.2.2.01.06 ,Belanja Bahan Bakar Minyak/Gas ,"" 128,000 "",Belanja Bahan Bakar Minyak/Gas 128000"
,,,
"1.14.1.13.01.067.002.5.2.2.02 ,Belanja Bahan/Material ,"" 1,671,000 "","
"1.14.1.13.01.067.002.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 1,671,000 "",Belanja Bahan Percontohan 1671000"
,,,Pengisian Tabung Pemadam Kebakaran 1137000
,,,Kayu Bakar Untuk Simulasi Pemadaman Kebakaran 534000
"1.14.1.13.01.067.002.5.2.2.03 ,Belanja Jasa Kantor ,"" 3,200,000 "","
"1.14.1.13.01.067.002.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 3,200,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 3200000"""
,,,
"1.14.1.13.01.067.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 16,680,000 "","
"1.14.1.13.01.067.002.5.2.2.06.01 ,Belanja Cetak ,"" 13,530,000 "",Belanja Cetak 13530000"
,,,
"1.14.1.13.01.067.002.5.2.2.06.02 ,Belanja Penggandaan ,"" 3,150,000 "",Belanja Penggandaan 3150000"
,,,
"1.14.1.13.01.067.002.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"" 500,000 "","
"1.14.1.13.01.067.002.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"" 500,000 "",Belanja Sewa Ruang Rapat/Pertemuan 500000"
,,,
"1.14.1.13.01.067.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 135,940,000 "","
"1.14.1.13.01.067.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 135,940,000 "",Belanja Makanan Dan Minuman Rapat 135940000"
,,,
"1.14.1.13.01.067.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 88,500,000 "","
"1.14.1.13.01.067.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 26,250,000 "",Belanja Perjalanan Dinas Dalam Daerah 26250000"
,,,
"1.14.1.13.01.067.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 62,250,000 "",Belanja Perjalanan Dinas Luar Daerah 62250000"
,,,
"1.14.1.13.01.067.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 86,400,000 "","
"1.14.1.13.01.067.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 15,000,000 "",Belanja Jasa Instruktur 15000000"
,,,
"1.14.1.13.01.067.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 71,100,000 "",Belanja Jasa Narasumber 71100000"
,,,
"1.14.1.13.01.067.002.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 300,000 "",Belanja Jasa Moderator 300000"
,,,
"2.08.1.13.01.153 ,Program Pengembangan Kawasan Transmigrasi ,"" 301,837,000 "","
"2.08.1.13.01.153.001 ,Penempatan Transmigran ,"" 301,837,000 "","
"2.08.1.13.01.153.001.5.2.1 ,BELANJA PEGAWAI ,"" 12,050,000 "","
"2.08.1.13.01.153.001.5.2.1.01 ,Honorarium PNS ,"" 5,750,000 "","
"2.08.1.13.01.153.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 5,750,000 "",Honorarium Panitia Pelaksana Kegiatan 5750000"
,,,
"2.08.1.13.01.153.001.5.2.1.02 ,Honorarium Non PNS ,"" 6,300,000 "","
"2.08.1.13.01.153.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 6,300,000 "",Honorarium Panitia Pelaksana Kegiatan 6300000"
,,,
"2.08.1.13.01.153.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 289,787,000 "","
"2.08.1.13.01.153.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 430,000 "","
"2.08.1.13.01.153.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 430,000 "",Belanja  Alat Tulis Kantor 430000"
,,,
"2.08.1.13.01.153.001.5.2.2.02 ,Belanja Bahan/Material ,"" 14,544,000 "","
"2.08.1.13.01.153.001.5.2.2.02.02 ,Belanja Bahan/Bibit Tanaman ,"" 2,250,000 "",Belanja Bahan/Bibit Tanaman 2250000"
,,,
"2.08.1.13.01.153.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 8,610,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 8610000"
,,,
"2.08.1.13.01.153.001.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 3,684,000 "",Belanja Bahan Percontohan 3684000"
,,,Bahan Pelatihan Calon Transmigran 3684000
"2.08.1.13.01.153.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 150,000 "","
"2.08.1.13.01.153.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 150,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 150000"""
,,,
"2.08.1.13.01.153.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 4,125,000 "","
"2.08.1.13.01.153.001.5.2.2.06.01 ,Belanja Cetak ,"" 3,000,000 "",Belanja Cetak 3000000"
,,,
"2.08.1.13.01.153.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 1,005,000 "",Belanja Penggandaan 1005000"
,,,
"2.08.1.13.01.153.001.5.2.2.06.03 ,Belanja Cetak Foto ,"" 120,000 "",Belanja Cetak Foto 120000"
,,,
"2.08.1.13.01.153.001.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 2,400,000 "","
"2.08.1.13.01.153.001.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 2,400,000 "",Belanja Sewa Sarana Mobilitas Darat 2400000"
,,,
"2.08.1.13.01.153.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 14,708,000 "","
"2.08.1.13.01.153.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 13,808,000 "",Belanja Makanan Dan Minuman Rapat 13808000"
,,,
"2.08.1.13.01.153.001.5.2.2.11.05 ,Belanja Makanan Dan Minuman Petugas Operasional /Survey/Monitoring ,"" 900,000 "",Belanja Makanan Dan Minuman Petugas Operasional 900000"
,,,/Survey/Monitoring
,,,
"2.08.1.13.01.153.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 215,030,000 "","
"2.08.1.13.01.153.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 15,950,000 "",Belanja Perjalanan Dinas Dalam Daerah 15950000"
,,,
"2.08.1.13.01.153.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 199,080,000 "",Belanja Perjalanan Dinas Luar Daerah 199080000"
,,,
"2.08.1.13.01.153.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 38,400,000 "","
"2.08.1.13.01.153.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 9,000,000 "",Belanja Jasa Instruktur 9000000"
,,,
"2.08.1.13.01.153.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 29,400,000 "",Belanja Jasa Narasumber 29400000"
,,,
,JUMLAH PENDAPATAN , - ,
",JUMLAH BELANJA ,"" 23,308,998,703 "","
",SURPLUS/(DEFISIT) ,"" (23,308,998,703)"","
,,,
,,,
