Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 21.08 . 5.2.2.03 ;Belanja Jasa Kantor ;2.200.000,00;2.200.000,00;0;0;
1.01 . 1.01.02 . 21.08 . 5.2.2.03.08 ;Belanja Sertifikasi ;175.000,00;175.000,00;0;0;"Belanja sertifikat PUG80 lbr x 0,00 = 0,00
Belanja Sertifikat workshop  pendidikan karakter bangsa
Belanja Sertifikat (kepengwsn)50 lbr x 1.000,00 = 50.000,00
Belanja sertifikat (PPDB dan MOS)100 lbr x 0,00 = 0,00
Belanja sertifikat (benc)125 lbr x 0,00 = 0,00
Belanja sertifikat (PAUD)125 lbr x 1.000,00 = 125.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.03.13 ;Belanja Dokumentasi ;725.000,00;725.000,00;0;0;"Belanja dokumentasi PUG1 keg x 0,00 = 0,00
Belanja Dokumentasi workshop  pendidikan karakter bangsa
Belanja Dokumentasi Workshop Kepengawasan Sekolah1 keg x 250.000,00 = 250.000,00
Belanja dokumentasi (PPDB dan MOS)1 buah x 0,00 = 0,00
Belanja dokumentasi (benc)1 keg x 0,00 = 0,00
Belanja dokumentasi (kinerja guru)1 keg x 0,00 = 0,00
Belanja dokumentasi (raker)1 keg x 225.000,00 = 225.000,00
Belanja dokumentasi (PAUD)1 keg x 250.000,00 = 250.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.03.15 ;Belanja Publikasi ;1.300.000,00;1.300.000,00;0;0;"Belanja publikasi PUG2 keg x 0,00 = 0,00
Belanja Publikasi  workshop pendidikan karakter bangsa
Belanja Publikasi Workshop Kepengawasan Sekolah2 keg x 250.000,00 = 500.000,00
Belanja publikasi (PPDB dan MOS)2 buah x 0,00 = 0,00
Belanja publikasi (benc)2 keg x 0,00 = 0,00Belanja publikasi (kinerja guru)2 buah x 0,00 = 0,00
Belanja publikasi (raker)2 buah x 150.000,00 = 300.000,00
Belanja publikasi (PAUD)2 buah x 250.000,00 = 500.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;3.300.000,00;3.300.000,00;0;0;
1.01 . 1.01.02 . 21.08 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;3.300.000,00;3.300.000,00;0;0;"Belanja Penggandaan/Foto copy (Raker)7,500 lbr x 150,00 = 1.125.000,00
Belanja penggandaan/fotocopy materi workshop  pendidikan karakter bangsa
Belanja penggandaan/fotocopy materi workshop pendidikan karakter bangsa
Belanja Fotocopy (Kepengawasan Sekolah)
Belanja Fotocopy Workshop Kepengawasan Sekolah7,500 lbr x 150,00 = 1.125.000,00
Belanja fotocopy (PPDB dan MOS)Belanja fotocoy (PPDB dan MOS)7,500 lbr x 0,00 = 0,00
Belanja penggandaan/fotocopy (benc)7,000 lbr x 0,00 = 0,00
Belanja penggandaan/fotocopy (kinerja guru)30,000 lbr x 0,00 = 0,00
Belanja penggandaan/fotocopy (PAUD)7,000 lbr x 150,00 = 1.050.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;2.000.000,00;4.750.000,00;2.750.000,00;137,5;
1.01 . 1.01.02 . 21.08 . 5.2.2.07.03 ;Belanja Sewa Ruang Rapat/Pertemuan ;2.000.000,00;4.750.000,00;2.750.000,00;137,5;"Belanja sewa ruang rapat/ pertemuan (Raker)1 keg x 1.250.000,00 = 1.250.000,00
Belanja sewa ruang workshop pendidikan karakter bangsa
Belanja Sewa Ruang Rapat/Pertemuan (Kepengawasan Sekolah)
Belanja Sewa Ruang Rapat/Pertemuan Workshop Kepengawasan Sekolah1 keg x 1.250.000,00 = 1.250.000,00
Belanja sewa ruang rapat/pertemuan RTO
Belanja sewa ruang rapat/pertemuan (RTO)1 keg x 0,00 = 0,00
Belanja sewa ruang rapat/pertemuan (benc)1 keg x 0,00 = 0,00
Belanja sewa ruang rapat/pertemuan (kinerja guru)1 keg x 0,00 = 0,00
Belanja Sewa Ruang/Pertemuan (PAUD)1 keg x 1.250.000,00 = 1.250.000,00
Belanja Sewa Ruang (LAKIP)1 keg x 1.000.000,00 = 1.000.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;47.740.000,00;59.320.000,00;11.580.000,00;24,26;
1.01 . 1.01.02 . 21.08 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;4.340.000,00;5.215.000,00;875.000,00;20,16;"Belanja makan minum rapat (Raker Dinas)Belanja makan minum rapat (Raker)45 or x 17.500,00 = 787.500,00
Belanja makan dan minum rapat workshop pendidikan karakter bangsa
Belanja makan dan minum rapat (kepengawasan)
Belanja Makan dan Minuman Rapat Workshop Kepengawasan Sekolah75 keg x 17.500,00 = 1.312.500,00
Belanja makan minum rapat (PPDB dan MOS)75 org x 0,00 = 0,00
Belanja makan minum rapat (benc)128 org x 0,00 = 0,00
Belanja makan minum rapat (kinerja guru)32 dos x 0,00 = 0,00
Belanja makan dan minum rapat (PAUD)128 org x 17.500,00 = 2.240.000,00
Belanja makan dan minum rapat (LAKIP)35 org x 25.000,00 = 875.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;43.400.000,00;54.105.000,00;10.705.000,00;24,67;"Belanja makanan dan minuman kegiatan (Raker program dan kegiatan 2014)
Belanja makanan dan minuman kegiatan (Raker)107 0m x 65.000,00 = 6.955.000,00
Belanja makan dan minum kegiatan pendidikan karakter bangsa
Belanja makan dan minum kegiatan workshop  pendidikan karakter bangsa
Belanja makan dan minuman kegiatan (kepengawasan)
Belanja makan dan minum kegiatan (kepengawasan)70 keg x 120.000,00 = 8.400.000,00
Belanja makan dan minum kegiatan (RTO)125 org x 0,00 = 0,00
Belanja makan minum pelaksanaan kegiatan (benc)170 org x 0,00 = 0,00
Belanja makan minum kegiatan (kinerja guru)380 org x 0,00 = 0,00
Belanja Makan Minum Kegiatan (PAUD)170 orang x 125.000,00 = 21.250.000,00
Belanja makan minum kegiatan (LAKIP)
Belanja makan minum kegiatan 2 hari (LAKIP)140 org x 125.000,00 = 17.500.000,00"
1.01 . 1.01.02 . 21.08 . 5.2.2.15 ;Belanja Perjalanan Dinas ;0;7.500.000,00;7.500.000,00;0;
1.01 . 1.01.02 . 21.08 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;0;7.500.000,00;7.500.000,00;0;Perjalanan Dinas Luar Daerah (Konsultasi IKU dan Indikator Pendidikan)1 keg x 7.500.000,00 = 7.500.000,00
1.01 . 1.01.02 . 21.08 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;11.700.000,00;15.650.000,00;3.950.000,00;33,76;
1.01 . 1.01.02 . 21.08 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;11.700.000,00;15.650.000,00;3.950.000,00;33,76;"Workshop  pendidikan karakter bangsa
Honor narasumberHonor moderatorHonor MC1 org x 0,00 = 0,00
Honor dirijen/pemandu nyanyi1 org x 0,00 = 0,00
Honor pembaca do'a1 org x 0,00 = 0,00
Workshop kepengawasanHonor Narasumber6 jpl x 400.000,00 = 2.400.000,00
Honor moderator6 org x 200.000,00 = 1.200.000,00
Honor direjen/pemandu nyanyi1 org x 100.000,00 = 100.000,00
Honor MC1 org x 100.000,00 = 100.000,00
Honr pembaca do'a1 org x 100.000,00 = 100.000,00
Workshop rapat kerja program dan kegiatan 2014 (Raker Dinas)
Honor narasumber rapat kerja prgram dan kegiatan 20146 jpl x 400.000,00 = 2.400.000,00
Honor moderator6 org x 200.000,00 = 1.200.000,00
Honor MC1 org x 100.000,00 = 100.000,00
Honor dirijen/pemandu lagu1 org x 100.000,00 = 100.000,00
Honor pembaca do'a1 org x 100.000,00 = 100.000,00
Workshop pengarus utamaan gender (PUG) bidang pendidikan
Honor narasumber workshop pengarus utamaan gender bidang pendidikan6 jpl x 0,00 = 0,00
Honor moderator6 org x 0,00 = 0,00
Honor MC1 org x 0,00 = 0,00Honor dirijen/pemandu nyanyi1 org x 0,00 = 0,00
Honor pembaca do'a1 org x 0,00 = 0,00
Workshop penerimaan peserta didik baru dan MOSHonor nara sumber (RTO)7 jpl x 0,00 = 0,00
Honor MC1 org x 0,00 = 0,00
Honor moderator1 org x 0,00 = 0,00
Honor dirijen/pemandu nyanyi1 org x 0,00 = 0,00
Honor pembaca do'a1 org x 0,00 = 0,00
Workshop pengurangan resiko bencana di sekolah
Hoor narasumber (benc)6 org x 0,00 = 0,00
Honor moderator (benc)6 org x 0,00 = 0,00
Honor dirijen/penyanyi (benc)1 org x 0,00 = 0,00
Honor MC1 org x 0,00 = 0,00
Honor pembaca do'a1 org x 0,00 = 0,00
Workshop penilaian kinerja guruHonor narasumber (kinerja guru)16 jpl x 0,00 = 0,00
Honor moderator1 org x 0,00 = 0,00
Honor MC1 org x 0,00 = 0,00
Honor dirijen/pemandu nyanyi1 org x 0,00 = 0,00
Honor pembaca do'a1 org x 0,00 = 0,00
Workshop PAUDHonor Narasumber (PAUD)6 orang x 400.000,00 = 2.400.000,00
Honor Moderator (PAUD)6 orang x 200.000,00 = 1.200.000,00
Honor Dirijen/Penyanyi (PAUD)1 orang x 100.000,00 = 100.000,00
Honor MC (PAUD)1 orang x 100.000,00 = 100.000,00
Honor Pembaca Doa (PAUD)1 orang x 100.000,00 = 100.000,00
Workshop LAKIPHonor Narasumber (LAKIP)4 org x 400.000,00 = 1.600.000,00
Honor Narasumber  (LAKIP)4 org x 400.000,00 = 1.600.000,00
Honor Moderator (LAKIP)3 org x 150.000,00 = 450.000,00
Honor MC (LAKIP)1 org x 100.000,00 = 100.000,00
Honor Pemandu nyanyi (LAKIP)1 org x 100.000,00 = 100.000,00
Honor Pembaca Doa (LAKIP)1 org x 100.000,00 = 100.000,00"
1.01 . 1.01.02 . 21.09 ;Monitoring, Evaluasi dan Pelaporan ;39.650.000,00;39.650.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.09 . 5.2.1 ;Belanja Pegawai ;4.000.000,00;4.000.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.1.01 ;Honorarium PNS ;4.000.000,00;4.000.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;4.000.000,00;4.000.000,00;0;0;"Honor panitia pelaksana kegiatan
Honor panitia pelaksana kegiatan (8 SNP)1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor panitia pelaksana kegiatan (kur 13)1 keg x 2.000.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 21.09 . 5.2.2 ;Belanja Barang dan Jasa ;35.650.000,00;35.650.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;600.000,00;600.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;600.000,00;600.000,00;0;0;"Belanja ATK
Belanja ATK (8 SNP)1 keg x 300.000,00 = 300.000,00
Belanja ATK (kur 13)1 keg x 300.000,00 = 300.000,00"
1.01 . 1.01.02 . 21.09 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;900.000,00;900.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;900.000,00;900.000,00;0;0;"Belanja penggandaan/fotocopy
Belanja penggandaan/fotocopy (8 SNP)3,000 lbr x 150,00 = 450.000,00
Belanja penggandaan/fotocopy (kur 13)3,000 lbr x 150,00 = 450.000,00"
1.01 . 1.01.02 . 21.09 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.650.000,00;6.650.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;6.650.000,00;6.650.000,00;0;0;"Belanja makanan dan minuman rapat
Belanja makanan dan minman rapat (8 SNP)190 org x 17.500,00 = 3.325.000,00
Belanja makan dan minum rapat (kur 13)190 om x 17.500,00 = 3.325.000,00"
1.01 . 1.01.02 . 21.09 . 5.2.2.15 ;Belanja Perjalanan Dinas ;17.500.000,00;17.500.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;17.500.000,00;17.500.000,00;0;0;"Belanja perjalanan dinas dalam daerahGolongan 4 (8 SNP)174 org x 50.000,00 = 8.700.000,00
Golongan 3 (8 SNP)70 org x 40.000,00 = 2.800.000,00
Golongan 2 (8 SNP)10 org x 30.000,00 = 300.000,00
Golongan 4 (kur 13)74 oj x 50.000,00 = 3.700.000,00
Golongan 3 (kur 13)44 oj x 40.000,00 = 1.760.000,00
Golongan 2 (kur 13)8 oj x 30.000,00 = 240.000,00"
1.01 . 1.01.02 . 21.09 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;10.000.000,00;10.000.000,00;0;0;
1.01 . 1.01.02 . 21.09 . 5.2.2.34.11 ;;10.000.000,00;10.000.000,00;0;0;"Honor tim monitoring dan pembinaan
Honor tim monitoring dan pembinaan (8 SNP)60 org x 100.000,00 = 6.000.000,00
Honor tim monitoring (kur 13)40 jpl x 100.000,00 = 4.000.000,00"
1.01 . 1.01.02 . 21.10 ;Sukses Ujian Nasional ;237.162.500,00;209.409.800,00;-27.752.700,00;-11,7;Sumber Dana : 
1.01 . 1.01.02 . 21.10 . 5.2.1 ;Belanja Pegawai ;14.935.000,00;7.390.000,00;-7.545.000,00;-50,52;
1.01 . 1.01.02 . 21.10 . 5.2.1.01 ;Honorarium PNS ;14.935.000,00;7.390.000,00;-7.545.000,00;-50,52;
1.01 . 1.01.02 . 21.10 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;13.760.000,00;6.215.000,00;-7.545.000,00;-54,83;"Honorarium panitia pelaksana kegiatan1 org/bjj x 6.215.000,00 = 6.215.000,00
Honor tim monev"
1.01 . 1.01.02 . 21.10 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1.175.000,00;1.175.000,00;0;0;"Honorarium tim pengadaan barang dan jasahonor PPK1 org x 350.000,00 = 350.000,00
Honor pejabat pengadaan1 org x 300.000,00 = 300.000,00
Honor penerima barang1 org/bjj x 525.000,00 = 525.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2 ;Belanja Barang dan Jasa ;222.227.500,00;202.019.800,00;-20.207.700,00;-9,09;
1.01 . 1.01.02 . 21.10 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;450.000,00;450.000,00;0;0;
1.01 . 1.01.02 . 21.10 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;450.000,00;450.000,00;0;0;"ATK kegiatanBelanja 
ATK kegiatan1 keg x 450.000,00 = 450.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.03 ;Belanja Jasa Kantor ;19.900.000,00;19.352.800,00;-547.200,00;-2,75;
1.01 . 1.01.02 . 21.10 . 5.2.2.03.15 ;Belanja Publikasi ;400.000,00;400.000,00;0;0;"Belanja publikasi
Belanja publikasi melalui media massa1 keg x 400.000,00 = 400.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.03.24 ;Belanja Jasa Penghitungan/Penilai ;19.500.000,00;18.952.800,00;-547.200,00;-2,81;"Belanja biaya jasa penilaian hasil/koreksi
Belanja jasa penilaian hasil ujicoba UN/koreksi hasil tryout1 keg x 18.952.800,00 = 18.952.800,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;140.000.000,00;131.849.500,00;-8.150.500,00;-5,82;
1.01 . 1.01.02 . 21.10 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;140.000.000,00;131.849.500,00;-8.150.500,00;-5,82;"Belanja penggandaan naskah soal uji coba UN, lembar jawab, amplop, dll
Belanja penggandaan naskah soal tertulis, master dan rekaman soal listening, lembar jawab komputer, amplop soal, daftar hadir, berita acara, dll1 keg x 131.849.500,00 = 131.849.500,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;6.937.500,00;6.937.500,00;0;0;
1.01 . 1.01.02 . 21.10 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.937.500,00;3.937.500,00;0;0;Belanja makan dan minum rapat225 om x 17.500,00 = 3.937.500,00
1.01 . 1.01.02 . 21.10 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.000.000,00;3.000.000,00;0;0;"Belanja makan minum kegiatan
Belanja makan minum kegiatan tryout Paket C120 org x 25.000,00 = 3.000.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.15 ;Belanja Perjalanan Dinas ;2.040.000,00;130.000,00;-1.910.000,00;-93,63;
1.01 . 1.01.02 . 21.10 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;2.040.000,00;130.000,00;-1.910.000,00;-93,63;"Belanja perjalanan dinasGolongan 4Golongan 31 org x 40.000,00 = 40.000,00
Golongan 23 org x 30.000,00 = 90.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;52.900.000,00;43.300.000,00;-9.600.000,00;-18,15;
1.01 . 1.01.02 . 21.10 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;48.100.000,00;38.500.000,00;-9.600.000,00;-19,96;"Honor nara sumber
Honor nara sumber siaran media massa1 keg x 100.000,00 = 100.000,00
Honor penyusun naskah soal SMA/MA, 2 kali62 org x 300.000,00 = 18.600.000,00
Honor penyusun naskah soal SMK, 2 kali44 org x 300.000,00 = 13.200.000,00
Honor penyusun naskah soal PNF, 2 kali22 org x 300.000,00 = 6.600.000,00"
1.01 . 1.01.02 . 21.10 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;4.800.000,00;4.800.000,00;0;0;"Honor penyelenggara kegiatan try out Paket C
Honor pengawas (20 org x 3 hr)60 org x 50.000,00 = 3.000.000,00
Honor pengelola @ 2 org18 lrg x 100.000,00 = 1.800.000,00"
1.01 . 1.01.02 . 21.11 ;Penyusunan Kalender Pendidikan dan Penerimaan Peserta Didik Baru (PPDB) ;299.857.500,00;159.909.988,00;-139.947.512,00;-46,67;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 21.11 . 5.2.1 ;Belanja Pegawai ;26.270.000,00;26.270.000,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.1.01 ;Honorarium PNS ;26.270.000,00;26.270.000,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;26.270.000,00;26.270.000,00;0;0;"Honorarium panitia (Dana DID)
Honorarium panitia PPDB kabupaten1 keg/bjj x 2.500.000,00 = 2.500.000,00
Honorarium tim penyusun pedoman PPDB dan kaldik1 keg/bjj x 2.270.000,00 = 2.270.000,00
Honor tim pendataan siswa gakin1 keg/bjj x 1.500.000,00 = 1.500.000,00
Honor tim penambahan nilai1 keg/bjj x 500.000,00 = 500.000,00
Honor tim penyelenggara posko informasi PPDB1 keg/bjj x 1.500.000,00 = 1.500.000,00
Honor tim monev pelaksanaan PPDB30 orang x 250.000,00 = 7.500.000,00
Honor tim operator PPDB RTO di satuan pendidikan dan di central (beberapa hari)350 orang x 30.000,00 = 10.500.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2 ;Belanja Barang dan Jasa ;273.587.500,00;133.639.988,00;-139.947.512,00;-51,15;
1.01 . 1.01.02 . 21.11 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;850.000,00;1.002.488,00;152.488,00;17,94;
1.01 . 1.01.02 . 21.11 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;850.000,00;1.002.488,00;152.488,00;17,94;"Belanja Bahan Habis Pakai
Belanja ATK1 Ls x 1.002.488,00 = 1.002.488,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.03 ;Belanja Jasa Kantor ;14.600.000,00;14.600.000,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.2.03.13 ;Belanja Dokumentasi ;300.000,00;300.000,00;0;0;"Belanja dokumentasi (Dana DID)
Belanja dokumentasi kegiatan1 keg x 300.000,00 = 300.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.03.15 ;Belanja Publikasi ;14.300.000,00;14.300.000,00;0;0;"Belanja publikasi (Dana DID)
Belanja publikasi melalui media massa2 keg x 400.000,00 = 800.000,00
Belanja pengadaan spanduk/banner10 unit x 100.000,00 = 1.000.000,00
Belanja iklan/spot/pariwara/pengumuman  PPDB secara online melalui media massa1 paket x 12.500.000,00 = 12.500.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;7.637.500,00;7.637.500,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.2.06.01 ;Belanja Cetak ;6.450.000,00;6.450.000,00;0;0;"Belanja cetak (Dana DID)
Belanja cetak buku kalender pendidikan650 unit x 5.000,00 = 3.250.000,00
Belanja cetak poster kalender pendididikan800 lbr x 4.000,00 = 3.200.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;1.187.500,00;1.187.500,00;0;0;"Belanja penggandaan/fotocopy (Dana DID)
Belanja penggandaan/fotocopy pedoman PPDB2,500 lbr x 125,00 = 312.500,00
Belanja foto kopi kegiatan7,000 lbr x 125,00 = 875.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;1.000.000,00;0;-1.000.000,00;-100;
1.01 . 1.01.02 . 21.11 . 5.2.2.07.02 ;Belanja Sewa Gedung/Kantor/Tempat ;1.000.000,00;0;-1.000.000,00;-100;"Belanja sewa gedung/kantor/tempatBelanja
 sewa tempat pelatihan operator dan admin dalam uji coba PPDB online"
1.01 . 1.01.02 . 21.11 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;32.750.000,00;32.750.000,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;2.625.000,00;2.625.000,00;0;0;"Belanja makan minum rapat (Dana DID)
Belanja makan minum rapat150 dos x 17.500,00 = 2.625.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;30.125.000,00;30.125.000,00;0;0;"Belanja makan minum kegiatan (Dana DID)
Belanja makan minum kegiatan sosialisasi PPDB100 orang x 17.500,00 = 1.750.000,00
Belanja makan minum sosialisasi siswa gakin50 orang x 17.500,00 = 875.000,00
Belanja makan minum bagi panitia PPDB di satuan pendidikan dan di central1,100 org x 25.000,00 = 27.500.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.15 ;Belanja Perjalanan Dinas ;11.350.000,00;7.050.000,00;-4.300.000,00;-37,89;
1.01 . 1.01.02 . 21.11 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;8.350.000,00;7.050.000,00;-1.300.000,00;-15,57;"Belanja perjalanan dinas dalam daerah dalam kabupatenGolongan 475 keg x 50.000,00 = 3.750.000,00
Golongan 360 keg x 40.000,00 = 2.400.000,00
Golongan 230 keg x 30.000,00 = 900.000,00
Belanja dinas dalam daerah dalam provinsiGolongan 4Golongan 3"
1.01 . 1.01.02 . 21.11 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;3.000.000,00;0;-3.000.000,00;-100;Perjalanan dinas luar daerahGolongan 3 dan atau 4
1.01 . 1.01.02 . 21.11 . 5.2.2.30 ;Belanja Operasional Pendidikan ;197.500.000,00;62.700.000,00;-134.800.000,00;-68,25;
1.01 . 1.01.02 . 21.11 . 5.2.2.30.05 ;Belanja Operasional Pendidikan SMA/SMK ;197.500.000,00;62.700.000,00;-134.800.000,00;-68,25;"Belanja operasional penyelenggaraan penerimaan peserta didik baru SMA/SMK secara oneline (RTO)
Belanja operasional pelaksanaanuntuk uji coba penerimaan peserta didik baru SMA/SMK secara online (RTO)
Belanja operasional pelaksanaan penerimaan peserta didik baru SMA/SMK secara online (RTO)1 keg x 62.700.000,00 = 62.700.000,00"
1.01 . 1.01.02 . 21.11 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;7.900.000,00;7.900.000,00;0;0;
1.01 . 1.01.02 . 21.11 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;7.900.000,00;7.900.000,00;0;0;"Honorarium nara sumber (Dana DID)
Honorarium nara sumber sosialisasi PPDB8 jpl x 350.000,00 = 2.800.000,00
Honorarium narasumber siaran media massa2 org x 100.000,00 = 200.000,00
Honorarium ahli/pakar untuk pelatihan PPDB RTO5 jpl x 500.000,00 = 2.500.000,00
Honor instruktur pendamping pelatihan12 orang x 200.000,00 = 2.400.000,00"
1.01 . 1.01.02 . 21.15 ;Penyusunan Renstra Bidang Pendidikan Menengah dan Non Formal ;18.875.000,00;10.162.500,00;-8.712.500,00;-46,16;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kab. Bantul"
1.01 . 1.01.02 . 21.15 . 5.2.1 ;Belanja Pegawai ;950.000,00;950.000,00;0;0;
1.01 . 1.01.02 . 21.15 . 5.2.1.01 ;Honorarium PNS ;950.000,00;950.000,00;0;0;
1.01 . 1.01.02 . 21.15 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;950.000,00;950.000,00;0;0;Honor panitia1 bjj x 950.000,00 = 950.000,00
1.01 . 1.01.02 . 21.15 . 5.2.2 ;Belanja Barang dan Jasa ;17.925.000,00;9.212.500,00;-8.712.500,00;-48,61;
1.01 . 1.01.02 . 21.15 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;750.000,00;750.000,00;0;0;
1.01 . 1.01.02 . 21.15 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;750.000,00;750.000,00;0;0;Belanja ATK1 keg x 750.000,00 = 750.000,00
1.01 . 1.01.02 . 21.15 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;1.025.000,00;1.025.000,00;0;0;
1.01 . 1.01.02 . 21.15 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;1.025.000,00;1.025.000,00;0;0;"Belanja penggandaan
Belanja fotocopy3,500 lbr x 150,00 = 525.000,00
Belanja penjilidan dokumen1 keg x 500.000,00 = 500.000,00"
1.01 . 1.01.02 . 21.15 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;8.500.000,00;7.437.500,00;-1.062.500,00;-12,5;
1.01 . 1.01.02 . 21.15 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.500.000,00;3.062.500,00;-437.500,00;-12,5;Belanja makan minum rapat175 doz x 17.500,00 = 3.062.500,00
1.01 . 1.01.02 . 21.15 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;5.000.000,00;4.375.000,00;-625.000,00;-12,5;"Makan minum kegiatan penyusunan
Belanja makan minum penyusunan renstra, renja, lakip, dan laporan175 doz x 25.000,00 = 4.375.000,00"
1.01 . 1.01.02 . 21.15 . 5.2.2.15 ;Belanja Perjalanan Dinas ;7.650.000,00;0;-7.650.000,00;-100;
