Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,200000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,200000,"APBD
 Belanja Dekorasi1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,553000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,553000,"APBD 
Belanja PenggandaanPenggandaan PPRG dan Vocal Point1 Pkt x 553.000,00 = 553.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,12875000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,2750000,"APBD 
Belanja Makan Minum Rapat Koordinasi Pokja PUGSnack Minum 2 x 50 org x 7.500100 Org x 7.500,00 = 750.000,00
Makan Minum 2 x 50 Org x 17.500100 Org x 17.500,00 = 1.750.000,00
Belanja Makan Minum Rapat Pendampingan PPRG dan Vocal Point DesaSnack Minum 1 x 10 org x 7.50010 Jpl x 7.500,00 = 75.000,00
Makan Minum 1 x 10 Org x 17.50010 Org x 17.500,00 = 175.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,10125000,"APBD
 Belanja Makan Minum Pelaksanaan Kegiatan Pendampingan PPRG dan Vocal PointSnack Minum 3 x 2 x 50 x 7.500300 Org x 7.500,00 = 2.250.000,00
Makan Minum 3 x 50 Org x 17.500150 Org x 17.500,00 = 2.625.000,00
Belanja Makan Minum Pelaksanaan Kegiatan Pelatihan PEKKASnack Minum 3 x 35 org x 7.500105 Org x 7.500,00 = 787.500,00
Makan Minuk 3 x 35 Org x 17.500105 Org x 17.500,00 = 1.837.500,00
Belanja Makan Minum Pelaksanaan Kegiatan Penguatan KelembagaanSnack Minum 1 x 3 x 35 x 7.500105 Org x 7.500,00 = 787.500,00
Makan Minum 1 x3 x 35 Org x 17.500105 Org x 17.500,00 = 1.837.500,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,9300000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,9300000,"APBD
 Belanja Perjalanan Dinas Luar DaerahUang Harian Golongan IV 1 x 2 org x 350.0002 Oh x 350.000,00 = 700.000,00
Uang Harian Golongan III 2 Org x 2 hr x 300.0004 Oh x 300.000,00 = 1.200.000,00
Tket Pesawat PP 2 x 3 x 900.0006 Oh x 900.000,00 = 5.400.000,00
Biaya Penginapan 4 Org x 1 hr x 500.0004 Hr x 500.000,00 = 2.000.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",12900000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,12900000,"APBD
 Jasa narasumber/Moderator/Tenaga AhliNarasumber PPRG dan FP Desa 30 Jpl30 Jpl x 150.000,00 = 4.500.000,00
Moderator PPRG dan FP Desa3 Org x 200.000,00 = 600.000,00
Narasumber/Instruktur PEKKA30 Jpl x 100.000,00 = 3.000.000,00
Moderator/Instruktur PEKKA3 Org x 200.000,00 = 600.000,00
Narasumber Penguatan Kelembagaan18 Jpl x 200.000,00 = 3.600.000,00
Moderator/Instruktur Penguatan Kelembagaan3 Org x 200.000,00 = 600.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,7725000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,7725000,"APBD 
Honorarium PesertaPeserta Pelatihan PPRG dan Vocal Point120 Org x 30.000,00 = 3.600.000,00
Peserta pelatihan PEKKA75 Org x 30.000,00 = 2.250.000,00
Peserta Penguatan Kelembagaan75 Org x 25.000,00 = 1.875.000,00"
1.13 . 1.12.01 . 15,"Program Pemberdayaan Fakir Miskin, Komunitas Adat Terpencil (KAT) dan Penyandang Masalah Kesejahteraan Sosial (PMKS) Lainnya",16600000,
1.13 . 1.12.01 . 15 . 09,Promoasi hasil usaha keluarga miskin,16600000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terekposnya produk PEKM
Target : 2 unit"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 1,Belanja Pegawai,5100000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 1 . 02,Honorarium Non PNS,5100000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 1 . 02 . 06,Honorarium Petugas Pendamping Kegiatan,5100000,"APBD
 Honorarium harianPenjaga stand100 oh x 30.000,00 = 3.000.000,00
Pendamping20 oh x 30.000,00 = 600.000,00
Penjaga malam20 oh x 75.000,00 = 1.500.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,11500000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD
 Alat tulis kantorATK1 pkt x 500.000,00 = 500.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 02,Belanja Bahan/Material,6500000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 02 . 01,Belanja Bahan Baku Bangunan,6500000,"APBD
 Belanja bahan baku bangunanBahan baku pembuatan stand dan asesoris1 pkt x 6.500.000,00 = 6.500.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1350000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,1000000,"APBD
 Belanja cetakCetak leaflet5,000 lbr x 200,00 = 1.000.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,350000,"APBD
 Belanja penggandaanFoto copy1 pkt x 350.000,00 = 350.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 07,Belanja Sewa Rumah/Gedung/Gudang/Parkir,1500000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 07 . 02,Belanja Sewa Gedung/Kantor/Tempat,1500000,"APBD
 Belanja sewa gedung / kantor / tempatSewa stand pameran2 bh x 750.000,00 = 1.500.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,1650000,
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1250000,"APBD
 Belanja makan minum rapatBelanja makan minum rapat koordinasi dan evaluasi (25 or x 2 x 25.000,-)50 or x 25.000,00 = 1.250.000,00"
1.13 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,400000,"APBD 
Belanja makan minum lemburMakan minum pendamping20 or x 20.000,00 = 400.000,00"
1.23 . 1.12.01 . 15,Program pengembangan data/informasi/statistik daerah,595090000,
1.23 . 1.12.01 . 15 . 01,Penyusunan dan pengumpulan data dan statistik daerah,512135000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Pemutakhiran data warga miskin
Target : 1 dokumen"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,239400000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 1 . 01,Honorarium PNS,239400000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,239400000,"APBD
 Honorarium Pengolahan Data GakinDesa ( 75 ds x 1 or)75 ok x 140.000,00 = 10.500.000,00
Honorarium Non PNSHonorarium Petugas Pendata (PPKBD)996 ok x 50.000,00 = 49.800.000,00
Honorarium Petugas Pendata (SUB PPKBD)5,970 ok x 30.000,00 = 179.100.000,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,272735000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2397500,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2397500,"APBD
 Belanja Alat Tulis KantorBelanja ATK1 ls x 2.397.500,00 = 2.397.500,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,51375000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,7875000,"APBD
 Belanja CetakBelanja cetak buku pedoman pendataan115 bk x 25.000,00 = 2.875.000,00
Cetak petunjuk teknis pengisian form updating (buku saku)2,000 eks x 2.500,00 = 5.000.000,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,43500000,"APBD
 Belanja foto copy formulis pendataan
Form R/I/W.M-Btl/16 (lb1)34,000 lbr x 500,00 = 17.000.000,00
Form R/I/W.M-Btl/16 (lb2)34,000 lb x 500,00 = 17.000.000,00
Form R/II/W.M-Btl/16(lb1)7,500 lbr x 500,00 = 3.750.000,00
Form R/II/W.M-Btl/16(lb2)7,500 lbr x 500,00 = 3.750.000,00
Foto copy kegiatan1 ls x 2.000.000,00 = 2.000.000,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,209772500,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,209772500,"APBD
 Belanja makan minum rapat 
( Rapat persiapan, evaluasi, sosialisasi dan ekspose hasil)Snack, minum rapat persiapan di Kabupaten25 or x 8.500,00 = 212.500,00
Snack, minum dan makan rapat Sos/orientasi tingkat kabupaten85 or x 28.500,00 = 2.422.500,00
Snack, minum, makan ekspose hasil tingkat kabupaten50 or x 28.500,00 = 1.425.000,00
Snack, minum, makan evaluasi hasil tingkat kabupaten25 or x 28.500,00 = 712.500,00
Bantuan konsumsi uji publik tingkat dusun (Rp 100.000,- x 933)933 dusun x 100.000,00 = 93.300.000,00
Bantuan konsumsi orientasi bagi petugas pendata tk dusun933 dusun x 100.000,00 = 93.300.000,00
Bantuan konsumsi orientasi bagi petugas pendata tk desa75 desa x 200.000,00 = 15.000.000,00
Bantuan konsumsi orientasi bagi petugas pendata tk Kecamatan17 kec x 200.000,00 = 3.400.000,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,8190000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,8190000,"APBD 
""Belanja perjalanan dinas dalam daerah
Belanja perjalanan dinas kab ke kec/desa (Uji petik dan monitoring pendataan)
""Gol. IV (6 or x 9 x 50.000,-)54 oh x 50.000,00 = 2.700.000,00Gol. III (4 or x 9 x 40.000,-)36 oh x 40.000,00 = 1.440.000,00
Belanja perjalanan dinas kab ke provinsiGol. IV (9 or x 5 x 70.000,-)45 oh x 70.000,00 = 3.150.000,00Gol. III (3 or x 5 x 60.000,-)15 oh x 60.000,00 = 900.000,00"
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,1000000,
1.23 . 1.12.01 . 15 . 01 . 5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,1000000,"APBD
 Belanja pemeliharaan peralatan dan mesin1 ls x 1.000.000,00 = 1.000.000,00"
1.23 . 1.12.01 . 15 . 02,"Pengolahan, updating dan analisis data dan statistik daerah",25310000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Hasil Pengolahan data dan evaluasi hasil program KB/KS
Target : 12 pertemuan"
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,25310000,
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,550000,
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,550000,"APBD 
Belanja alat tulis kantor1 ls x 550.000,00 = 550.000,00"
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1000000,
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,1000000,"APBD
 Belanja cetak dan penggandaanBelanja Penggandaan1 ls x 1.000.000,00 = 1.000.000,00"
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,17100000,
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,17100000,"APBD 
Belanja makan dan minum rapat
Belanja makan dan minum rapat (50 or x 12 bln x 20500,-)600 or x 28.500,00 = 17.100.000,00"
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,6660000,
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,660000,"APBD 
Belanja perjalanan dinas dalam daerah ke propinsiGol. IV (2 or x 2 x 60.000,-)4 or x 60.000,00 = 240.000,00
Gol. III (3 or x 2 x 70.000,-)6 or x 70.000,00 = 420.000,00"
1.23 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,6000000,"APBD 
Rakor regional dan konsultasi pencatatan pelaporan1 ls x 6.000.000,00 = 6.000.000,00"
1.23 . 1.12.01 . 15 . 05,Jaring Informasi Riset Daerah,12000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Kelancaran akses jaringan internet untuk mengolah dan mengakses laporan hasil program kegiatan
Target : 12 bulan"
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,12000000,
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,2000000,
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,2000000,"APBD 
Belanja alat tulis kantor1 ls x 2.000.000,00 = 2.000.000,00"
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1330000,
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1330000,"APBD
 Belanja foto copy kegiatan1 ls x 1.330.000,00 = 1.330.000,00"
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,2300000,
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,2300000,"APBD 
Belanja perjalanan dinas dalam daerah kab. ke kec/desaGol. III (2 or x 10 x 40.000,-)20 or x 40.000,00 = 800.000,00
Gol. IV (3 or x 10 x 50.000,-)30 or x 50.000,00 = 1.500.000,00"
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,6370000,
1.23 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 20 . 07,Belanja Pemeliharaan Jaringan dan Instalasi,6370000,"APBD
 Belanja Suku Cadang Jaringan dan KomputerBelanja suku cadang1 ls x 6.370.000,00 = 6.370.000,00"
1.23 . 1.12.01 . 15 . 11,Pelatihan Sistem dan Mekanisme Pengolahan dan Pengelolaan Data Statistik Daerah,45645000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya bimtek operator aplikasi pendataan warga miskin
Target : 1 kali"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 1,Belanja Pegawai,8100000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 1 . 02,Honorarium Non PNS,8100000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,8100000,"APBD 
Honorarium narasumber2 jpl x 250.000,00 = 500.000,00
Honor narasumber lainnya4 jpl x 1.000.000,00 = 4.000.000,00
Honor peserta pelatihan pendataan120 or x 30.000,00 = 3.600.000,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,37545000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,20957500,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,20957500,"APBD
 Belanja alat tulis kantor1 ls x 6.557.500,00 = 6.557.500,00
Belanja ATK (Tas, Block Note, ballpoint, cocard)120 pkt x 120.000,00 = 14.400.000,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,400000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,400000,"APBD 
Belanja publikasiBelanja spanduk, dekorasi, dokumentasi2 pkt x 200.000,00 = 400.000,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2742500,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2742500,"APBD 
Belanja penggandaanBelanja penggandaan manual book, materi, surat, undangan1 ls x 2.742.500,00 = 2.742.500,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 07,Belanja Sewa Rumah/Gedung/Gudang/Parkir,3750000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 07 . 03,Belanja Sewa Ruang Rapat/Pertemuan,3750000,"APBD 
Belanja sewa ruang bintek3 hari x 1.250.000,00 = 3.750.000,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,9695000,
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,855000,"APBD 
Belanja makan minum rapatSnack30 dos x 8.500,00 = 255.000,00
Makan minum30 dos x 20.000,00 = 600.000,00"
1.23 . 1.12.01 . 15 . 11 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8840000,"APBD
 Belanja Makan dan MInum Penyelenggaraankonsumsu prasamanan peserta120 oh x 65.000,00 = 7.800.000,00
Narasumber dan Panitia16 oh x 65.000,00 = 1.040.000,00"
1.12 . 1.12.01 . 16,Program Kesehatan Reproduksi Remaja,102750000,
1.12 . 1.12.01 . 16 . 01,Advokasi dan KIE tentang Kesehatan Reproduksi Remaja (KRR),24750000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Sosialisasi KRR pada TOMA
Target : 350 orang"
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,24750000,
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD
 Belanja alat tulis kantorATK1 or x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,8750000,
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8750000,"APBD 
Belanja makan minum pelaksana kegiatanBelanja Makan minum pelaksanaan kegiatan350 or x 25.000,00 = 8.750.000,00"
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",5000000,
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,5000000,"APBD
 Honorarium Narasumber AhliNarasumber ahli5 or x 500.000,00 = 2.500.000,00
Narasumber10 org x 250.000,00 = 2.500.000,00"
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,10500000,
1.12 . 1.12.01 . 16 . 01 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,10500000,"APBD
 Honor PesertaHonor Peserta Rapat/Sosialisasi350 org x 30.000,00 = 10.500.000,00"
1.12 . 1.12.01 . 16 . 04,KIE kesehatan reproduksi bagi siswa,41000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Kegiatan KIE Kespro bagi siswa SLTA dan SLTP
Target : 1.000 orang"
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium Panitia Pelaksana Kegiatan
Ketua0 or x 200.000,00 = 0,00
sekretaris0 or x 150.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,41000000,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD
 Belanja alat tulis kantorBelanja ATK1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,7500000,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,7500000,"APBD
 Belanja makanan dan minuman pelaksanaan kegiatan1,000 or x 7.500,00 = 7.500.000,00"
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",33000000,
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,8000000,"APBD 
Honorarium narasumberPenyaji materi (2 or x 20 keg)40 or x 200.000,00 = 8.000.000,00"
1.12 . 1.12.01 . 16 . 04 . 5 . 2 . 2 . 35 . 06,Jasa Tenaga Harian Lepas,25000000,"APBD 
Honor harian lepasTransport peserta1,000 or x 25.000,00 = 25.000.000,00"
1.12 . 1.12.01 . 16 . 06,Lomba forum PIK remaja,37000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Diperolehnya juara kelompok PIK-R
Target : 60 Kelompok"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 1,Belanja Pegawai,2290000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 1 . 01,Honorarium PNS,2290000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,2290000,"APBD
 Honorarium panitia pelaksana kegiatanKetua tim1 or x 150.000,00 = 150.000,00
Sekretaris1 or x 100.000,00 = 100.000,00
Anggota6 or x 90.000,00 = 540.000,00
Honorarium Tim YuriKetua3 or x 200.000,00 = 600.000,00
Anggota6 or x 150.000,00 = 900.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,34710000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,3925000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,3925000,"APBD
 Belanja penggandaanATK pelatihan 34 pst x 25.000,-34 or x 50.000,00 = 1.700.000,00
ATK Kabupaten1 pkt x 1.500.000,00 = 1.500.000,00
Foto copy1 pkt x 725.000,00 = 725.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,6525000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,6525000,"APBD
 Biaya makan minum rapatMinum, snack rapat50 or x 7.500,00 = 375.000,00
Makan, minum246 or x 25.000,00 = 6.150.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,1020000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,1020000,"APBD
 Belanja perjalanan dinas dalam daerahGol. IV6 or x 50.000,00 = 300.000,00
Gol. III18 or x 40.000,00 = 720.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 23,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga,18000000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 23 . 02,Belanja Barang Yang Akan Diserahkan Kepada Pihak Ketiga,18000000,"APBD
 Pemberian hadiahJuara I6 or x 1.250.000,00 = 7.500.000,00
Juara II6 or x 1.000.000,00 = 6.000.000,00
Juara III6 or x 750.000,00 = 4.500.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",3200000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,3200000,"APBD
 Jasa narasumberPenyaji materi16 or x 200.000,00 = 3.200.000,00"
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,2040000,
1.12 . 1.12.01 . 16 . 06 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,2040000,"APBD 
Honorarium pesertaTransport peserta68 or x 30.000,00 = 2.040.000,00"
1.13 . 1.12.01 . 16,Program Pelayanan dan Rehabilitasi Kesejahteraan Sosial,30000000,
1.13 . 1.12.01 . 16 . 14,Pendampingan Program layanan bagi keluarga miskin dan PMKS,30000000,"Sumber Dana : 
APBDLokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Sosialisasi Kepesertaan jamkesda dan jamkesos
Target : 100 orang"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 1,Belanja Pegawai,1140000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 1 . 01,Honorarium PNS,1140000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1140000,"APBD
 Honor Panitia Pelaksana Penanggungjawab operasional LPDA-PK tingkat kab. Bantul
Ketua1 or x 200.000,00 = 200.000,00
Sekretaris1 or x 190.000,00 = 190.000,00
Anggota5 or x 150.000,00 = 750.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,28860000,
