Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2400000," Belanja Perjalanan Dinas Dalam Daerah
- Gol IV = 20x Rp 50.000,-24 op x 50.000,00 = 1.200.000,00
- Gol III = 30 x Rp 40.000,-30 op x 40.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",5700000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,1200000," Honor Pembicara workshop LDPM8 jpl x 150.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,1500000," Uang Saku Peserta workshop LDPM50 oh x 30.000,00 = 1.500.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 35 . 09 , Jasa Petugas Lapangan ,3000000," Honorarium Pendamping LDPM30 ob x 100.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 47 , Hari Pangan sedunia ,122350000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksananya peringatan Hari Pangan Sedunia
Target: 1 kali",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 1 , Belanja Pegawai ,5000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 1 . 01 , Honorarium PNS ,5000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,5000000," Honor Tim Pelaksana Kegiatan
Honor Tim Pelaksana HPS1 bjj x 5.000.000,00 = 5.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 , Belanja Barang dan Jasa ,117350000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1000000," Belanja ATK1 ls x 1.000.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,25000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,25000000," Belanja bahan percontohan
Belanja Bahan lomba, pameran dan perlengkapan pameran, bahan sampel HPS Kabupaten, provinsi dan nasional1 LS x 25.000.000,00 = 25.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,5000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,2500000," Belanja dekorasi1 paket x 2.500.000,00 = 2.500.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 03 . 15 , Belanja Publikasi ,2500000," Belanja publikasi1 paket x 2.500.000,00 = 2.500.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,2000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,500000," Belanja cetak1 paket x 500.000,00 = 500.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1500000," Belanja Penggandaan1 LS x 1.500.000,00 = 1.500.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 , Belanja Sewa Perlengkapan dan Peralatan Kantor ,19650000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 . 01 , Belanja Sewa Meja Kursi ,1000000," Belanja sewa meja kursi500 unit x 2.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 . 04 , Belanja Sewa Generator ,1400000," Belanja sewa generator
Belanja sewa generator/diesel4 hari x 350.000,00 = 1.400.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 . 05 , Belanja Sewa Tenda ,10000000," Belanja sewa tenda1 pkt x 10.000.000,00 = 10.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 . 07 , Belanja Sewa Sound System ,3000000," Belanja sewa sound system1 paket x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 10 . 13 , Belanja sewa peralatan dan perlengkapan kegiatan ,4250000," Belanja Sewa lampu90 buah x 25.000,00 = 2.250.000,00
Belanja Sewa Panggung1 paket x 2.000.000,00 = 2.000.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,37650000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3150000," Belanja makan dan minum rapat
snack,minum140 os x 7.500,00 = 1.050.000,00
makan,minum140 om x 15.000,00 = 2.100.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,34500000," Belanja makan dan minum pelaksanaan kegiatan (pembukaan, lomba)
snack,minum1,200 os x 7.500,00 = 9.000.000,00
makan,minum800 om x 15.000,00 = 12.000.000,00
snack,minum sosialisasi Gerakan Makan Pangan Lokal1,800 os x 7.500,00 = 13.500.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,13250000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 15 . 02 , Belanja Perjalanan Dinas Luar Daerah ,13250000," Perjalanan dinas HPS Tk. NasionalTiket perjalanan2 op x 4.000.000,00 = 8.000.000,00
Perjalanan2 op x 2.625.000,00 = 5.250.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",1800000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 35 . 02 , Jasa Yuri Perlombaan/Pelatih ,1800000," Honorarium Juri perlombaan
juri olahan pangan lokal3 ok x 100.000,00 = 300.000,00
juri lomba stand3 ok x 100.000,00 = 300.000,00 
juri melukis3 ok x 100.000,00 = 300.000,00
 juri tumpeng triguna3 ok x 100.000,00 = 300.000,00
 juri PMTAS3 ok x 100.000,00 = 300.000,00
juri mewarnai3 ok x 100.000,00 = 300.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 37 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,6000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 37 . 01 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,6000000," Lomba olahan pangan lokal
Juara I1 kali x 450.000,00 = 450.000,00
Juara II1 kali x 350.000,00 = 350.000,00
Juara III1 kali x 250.000,00 = 250.000,00
Lomba tumpeng triguna
Juara II1 kali x 400.000,00 = 400.000,00
Juara III1 kali x 300.000,00 = 300.000,00
Juara I1 kali x 500.000,00 = 500.000,00
Lomba PMT-ASJuara II1 kali x 350.000,00 = 350.000,00
Juara III1 kali x 250.000,00 = 250.000,00
Juara I1 kali x 400.000,00 = 400.000,00
Lomba mewarnaiJuara II1 kali x 250.000,00 = 250.000,00
Juara III1 kali x 200.000,00 = 200.000,00
Juara I1 kali x 300.000,00 = 300.000,00
Lomba standJuara II1 kali x 350.000,00 = 350.000,00
Juara III1 kali x 250.000,00 = 250.000,00
Juara I1 kali x 400.000,00 = 400.000,00
Lomba MelukisJuara II1 kali x 350.000,00 = 350.000,00
Juara III1 kali x 250.000,00 = 250.000,00
Juara I1 kali x 400.000,00 = 400.000,00",,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 38 , Belanja Jasa Pentas/Pertunjukan ,6000000,,,
1.21 . 1.21.01 . 15 . 47 . 5 . 2 . 2 . 38 . 01 , Belanja Jasa Pentas/Pertunjukan ,6000000," Belanja Jasa Pentas/Pertunjukan1 LS x 6.000.000,00 = 6.000.000,00",,
1.21 . 1.21.01 . 15 . 49 , Sistem kewaspadaan pangan dan gizi ,27800000," Sumber Dana : 
Lokasi Kegiatan : Bantul",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 , Belanja Barang dan Jasa ,27800000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1060000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1060000," Belanja bahan pakai habis
Belanja ATK dan suplies komputer1 ls x 610.000,00 = 610.000,00ATK peserta30 pkt x 15.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,250000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,250000," Dekorasi1 pkt x 250.000,00 = 250.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1750000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1750000," Belanja Cetak dan Penggandaan
Penggandaan/ fotokopi blangko1 ls x 750.000,00 = 750.000,00
- Penggandaan dan penjilidan10 expl x 100.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,900000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,900000," Belanja sewa ruang rapat/pertemuan1 pkt x 900.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,4400000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,1800000," Makan minum, snack rapat koordinasi80 om x 22.500,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,2600000," Makan Minum Snack workshop SKPG40 om x 65.000,00 = 2.600.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,1440000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1440000," Perjalanan Dinas ke lapangan
- Gol IV = 12 x Rp 50.000,-12 op x 50.000,00 = 600.000,00
- Gol III = 22 x Rp 40.000,-21 op x 40.000,00 = 840.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",18000000,,,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,900000," - Honor Pembicara Workshop SKPG6 jpl x 150.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,900000," - Uang Harian Workshop SKPG30 oh x 30.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 49 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,16200000," '- Honor Tim Pendata
- Honorarium Tim Pendata SKPG102 ob x 100.000,00 = 10.200.000,00
- Honorarium pengolah dan Penganalisa12 ob x 100.000,00 = 1.200.000,00
- Honorarium Tim SKPG Kabupaten48 ob x 100.000,00 = 4.800.000,00",,
1.21 . 1.21.01 . 15 . 50 , Stabilitas harga dan pasokan pangan ,20000000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : tersusunnya laporan stabilitas harga dan pasokan pangan 
Target: 1 buku",,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 , Belanja Barang dan Jasa ,20000000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,715000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,715000," Belanja Alat Tulis Kantor dan suplies komputer1 ls x 715.000,00 = 715.000,00",,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1350000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1350000," Belanja Penggandaan
'- foto kopi blanko1 ls x 900.000,00 = 900.000,00
- Penggandaan dan penjilidan laporan1 ls x 450.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,3375000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3375000," Belanja Makan Minum Snack rapat koordinasi150 om x 22.500,00 = 3.375.000,00",,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,1960000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1960000," Belanja Perjalanan Dinas Dalam Daerah
- Gol IV = 20 x Rp 50.000,-20 op x 50.000,00 = 1.000.000,00
- Gol III = 24 x Rp 40.000,-24 op x 40.000,00 = 960.000,00",,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",12600000,,,
1.21 . 1.21.01 . 15 . 50 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,12600000," Honorarium Petugas Pengumpul/Validasi Data
- Honor Tim Pendata102 ob x 100.000,00 = 10.200.000,00
- Honor Tim Analisis Data24 ob x 100.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 51 , Ketersediaan pangan ,34800000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksanannya pendataan ketersediaan pangan di Kab. Bantul
Target: 17 kecamatan",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 1 , Belanja Pegawai ,12750000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 1 . 01 , Honorarium PNS ,12750000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,12750000," '- Honorarium Panitia Pelaksana Kegiatan
Ketua10 ob x 150.000,00 = 1.500.000,00
Sekretaris10 ob x 125.000,00 = 1.250.000,00
Anggota (10 Org)100 ob x 100.000,00 = 10.000.000,00",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 , Belanja Barang dan Jasa ,22050000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1100000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1100000," Belanja ATK dan suplies komputer1 ls x 1.100.000,00 = 1.100.000,00",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,2650000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,2650000," Belanja cetak dan penggandaan
Penggandaan/ fotokopi blanko1 ls x 1.650.000,00 = 1.650.000,00
Penggandaan dan penjilidan10 expl x 100.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,7200000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,7200000," Makan minum, snack Rapat Koordinasi320 om x 22.500,00 = 7.200.000,00",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2700000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2700000," Perjalanan Dinas ke lapangan di 17 kecamatan
- Gol IV = 22x Rp 50.000,-22 op x 50.000,00 = 1.100.000,00
- Gol III = 40 x Rp 40.000,-40 op x 40.000,00 = 1.600.000,00",,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",8400000,,,
1.21 . 1.21.01 . 15 . 51 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,8400000," Honorarium Petugas Pengumpul/Validasi Data
- Honor Pendataan Kecamatan68 ob x 100.000,00 = 6.800.000,00
- Honor pengolah dan Penganalisa data16 ob x 100.000,00 = 1.600.000,00",,
1.21 . 1.21.01 . 15 . 53 , Ketersediaan informasi pasokan harga dan akses pangan di daerah ,20000000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Tersusunnya laporan penyediaan informasi harga pasokan dan akses pangan daerah
Target: 1 buku",,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 , Belanja Barang dan Jasa ,20000000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,715000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,715000," Belanja ATK dan suplies komputer1 ls x 715.000,00 = 715.000,00",,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1350000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1350000," Belanja Penggandaan'
- foto kopi blanko1 ls x 900.000,00 = 900.000,00
- Penggandaan dan penjilidan laporan1 ls x 450.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,3375000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3375000," Belanja Makan Minum Snack rapat koordinasi150 om x 22.500,00 = 3.375.000,00",,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,1960000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1960000," Belanja Perjalanan Dinas Dalam Daerah
- Gol IV = 20 x Rp 50.000,-20 op x 50.000,00 = 1.000.000,00
- Gol III = 24 x Rp 40.000,-24 op x 40.000,00 = 960.000,00",,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",12600000,,,
1.21 . 1.21.01 . 15 . 53 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,12600000," Honorarium Petugas Pengumpul/Validasi Data
- Honor Tim Pendata102 ob x 100.000,00 = 10.200.000,00
- Honor Tim Analisis Data24 ob x 100.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 54 , Pengawasan dan pembinaan keamanan pangan ,39600000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya pemantauan kualitas pangan segar dan PJAS, sosialisasi, pengadaan reagen uji lab
Target: 1 kali",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 1 , Belanja Pegawai ,450000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 1 . 01 , Honorarium PNS ,450000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,450000," Honorarium panitia kegiatan
Honorarium panitia kegiatan pelatihan6 ok x 75.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 , Belanja Barang dan Jasa ,39150000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2025000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2025000," Belanja ATK- ATK Kegiatan1 ls x 675.000,00 = 675.000,00 
ATK Peserta Workshop keamanan pangan40 pkt x 15.000,00 = 600.000,00
ATK Peserta Sosialisasi Sertifikasi Pangan Segar Asal Tumbuhan50 pkt x 15.000,00 = 750.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,3000000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 02 . 08 , Belanja Bahan Makanan ,3000000," Belanja Sampel/bahan pangan1 pkt x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,12500000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,500000," Dekorasi (Workshop dan sosialisasi)2 pkt x 250.000,00 = 500.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 03 . 16 , Belanja Analisa Laboratorium ,12000000," Belanja analisa laboratorium1 la x 12.000.000,00 = 12.000.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1900000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1900000," Belanja penggandaan
Penggandaan1 ls x 750.000,00 = 750.000,00
Penggandaan Materi1 ls x 750.000,00 = 750.000,00
Penggandaan dan penjilidan laporan4 expl x 100.000,00 = 400.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,1800000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,1800000," BelanjaSewa ruang rapat2 pkt x 900.000,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,10525000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3375000," Makan Minum Rapat Koordinasi150 om x 22.500,00 = 3.375.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,7150000," Makan Minum Snack Workshop Keamanan Pangan50 om x 65.000,00 = 3.250.000,00
Makan Minum Snack Sosialisasi sertifikasi pangan segar asal tumbuhan60 om x 65.000,00 = 3.900.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2600000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2600000," Perjalanan Dinas dalam daerah
Gol IV= 20 x 50.00020 op x 50.000,00 = 1.000.000,00
Gol III= 40 x 40.00040 op x 40.000,00 = 1.600.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",4800000,,,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,2400000," Honorarium Narasumber
Honor Pembicara Workshop8 jpl x 150.000,00 = 1.200.000,00
Honor Pembicara Sosialisasi Sertifikasi8 jpl x 150.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 54 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,2400000," Honorarium Peserta
Uang Harian Peserta Workshop40 oh x 30.000,00 = 1.200.000,00
Uang Harian Peserta Sosialisasi Sertifikasi40 oh x 30.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 55 , Kawasan rumah tangga pangan projo tamansari ,314095000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya gerakan makan B2SA, apresiasi dan fasilitasi kelompok masyarakat
Target: 480 0rang, 22 KWT",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 , Belanja Barang dan Jasa ,314095000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,3365000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,3365000," Belanja bahan pakai habis
ATK dan Suplies Komputer1 ls x 1.565.000,00 = 1.565.000,00
ATK Peserta Apresiasi120 pkt x 15.000,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,176000000,,,
